"week","airport_code","mean_occurrence","mean_abundance","Total_Voos","index","moving_avg_occurrence","moving_avg_abundance","moving_avg_Total_Voos","moving_avg_index","Col_Total","vnt_vel_max_mean","tt_mean","po_mean","qnh_mean","ur_mean","vnt_dir_mode","vnt_rajada_mode","chuva_mode","trovoada_mode","teto_mode","vnt_vel_mean","chuva_count"
1,"SBBE",0.40605441480875,2.24075712698201,297,0.000724552272492954,0.372653269829849,0.0131133612096403,0.270229218447943,0.00132053910222808,1,8.6,25.8235294117647,23.7352941176471,1011.65671641791,88.7352941176471,22,0,1,1,10000,4.35294117647059,11
1,"SBBR",0.394944744692607,1.07912186160684,1544,0.00176436476686498,0.356906080175014,0.0101883808643088,0.272507594587131,0.000990918024808676,2,11.6,22.76,19.6133333333333,1015.65333333333,83.3333333333333,22,25,1,1,3000,6.41333333333333,23
1,"SBCF",0.382468522949652,1.1491450169547,1269,0.00149543110378382,0.299909002353232,0.00942978548244835,0.187448218724109,0.000530118100369448,1,13.2,21.9404761904762,19.3809523809524,1013.90476190476,86.8928571428571,24,22,1,1,200,6.83333333333333,20
1,"SBCT",0.307145396868388,0.933680812828243,804,0.000618205328943734,0.297865671554713,0.0101195930665203,0.136288318144159,0.000410811067746401,3,12.4,20.8243243243243,17.4189189189189,1013.58108108108,83.6486486486486,5,0,1,1,1300,6.94594594594595,6
1,"SBCY",0.343065656189408,1.03566522470542,330,0.000314372702034836,0.308818425134014,0.0128259192563189,0.160660038663353,0.000636355163764614,1,12,28.0153846153846,21.8615384615385,1009.84615384615,70.8923076923077,22,0,1,0,2000,6.83076923076923,3
1,"SBEG",0.166956433405479,0.766580564280351,312,0.000107065563506902,0.310398951620851,0.0128551967898997,0.378900856117095,0.00151190520300178,0,8.2,27.1666666666667,22.4242424242424,1011.5,77.9848484848485,25,0,0,0,10000,4.66666666666667,0
1,"SBFZ",0.374295199755579,1.43334574159235,528,0.000759509815699588,0.372446943367267,0.0139760451164126,0.444835680751174,0.00231551886458329,0,12.2,27.6567164179104,22.955223880597,1011.68656716418,76.4925373134328,32,0,1,0,2000,7.85074626865672,9
1,"SBGL",0.35095641118559,2.04868720302528,1157,0.00223047029876112,0.364323751288325,0.0137610000486752,0.472383319524993,0.00236827447993163,0,12.4,27.5151515151515,21.5606060606061,1007.30303030303,71.9393939393939,5,0,1,1,10000,6.27272727272727,4
1,"SBGR",0.349387762136757,1.04772756854072,3491,0.00342641655617444,0.353233339436672,0.0113893064360623,0.460715272024303,0.00185349566182769,1,7.4,22.6617647058824,19.7352941176471,1012.08823529412,85.1470588235294,1,0,1,1,2000,3.47761194029851,10
1,"SBKP",0.415148400391142,1.22837007480363,1267,0.001732381199668,0.329790438548897,0.0127915495687308,0.325669704501519,0.001373847660175,1,10,24.1666666666667,18.3787878787879,1011.27272727273,71.9393939393939,7,0,1,0,1000,6.07575757575758,8
1,"SBPA",0.341802431439812,1.34474717368456,927,0.00114243045643049,0.28807368248259,0.0119416003727498,0.429991714995857,0.00147919764055087,2,15.8,25.6119402985075,19.2686567164179,1010.88059701493,70.0298507462687,3,24,1,0,4000,10.1791044776119,3
1,"SBRF",0.306594763778978,1.07154943462875,988,0.000870298309585802,0.290711931166982,0.0116872817661827,0.419566418116542,0.00142553239419137,0,9,28.6153846153846,22.4,1012.15384615385,69.5384615384615,30,0,0,0,5000,6.27692307692308,0
1,"SBRJ",0.255616158585657,1.62545173920014,1535,0.00171003505668121,0.317290592324835,0.0150469900326018,0.373791770229218,0.0017845822293657,1,13,26.5652173913043,22.7536231884058,1007.02898550725,80.4347826086957,9,0,1,1,10000,6.82608695652174,5
1,"SBSP",0.248281376125912,0.878191006059448,2778,0.00162405084093505,0.350271370494738,0.0136158843659699,0.38041977354322,0.00181431870824962,2,13,22.1686746987952,17.8313253012048,1013.01204819277,77.8313253012048,14,18,1,1,10000,6.1566265060241,8
1,"SBSV",0.352355426177382,1.23996790777892,776,0.000909049182838977,0.378909704374206,0.0140665590916668,0.282104391052196,0.00150360392033857,2,15.8,26.8550724637681,23.4202898550725,1012.14492753623,81.5072463768116,2,0,1,1,6000,7.68115942028986,10
2,"SBBE",0.41290940841039,2.45574924039344,325,0.000883601426865169,0.364737939731585,0.0131866173905976,0.28921568627451,0.00139102901904628,1,9.85714285714286,26.0210526315789,23.4842105263158,1012.08695652174,86.5052631578947,30,19,1,0,10000,5.21052631578947,10
2,"SBBR",0.387539271265268,1.03583620454777,1631,0.00175547648431796,0.346237004949768,0.00943341766328998,0.294255730461199,0.000961097560176306,1,10,24.5360824742268,19.1237113402062,1017.9793814433,74.4329896907217,21,0,1,1,10000,5.75257731958763,2
2,"SBCF",0.362834711643783,1.06386899304661,1354,0.00140136057324103,0.290544519881774,0.00868854899142704,0.205882352941176,0.000519731531361297,0,7.57142857142857,25.3152173913043,19.5217391304348,1016.39130434783,72.9347826086957,24,0,1,0,4000,4.48913043478261,1
2,"SBCT",0.295668367606898,0.877431926938395,879,0.000611422507851021,0.293023081806799,0.00931949555439856,0.1498895332781,0.000409322430694378,2,12.1428571428571,23.4313725490196,19.078431372549,1014.8431372549,79.6960784313726,18,33,1,1,3000,5.96078431372549,5
2,"SBCY",0.338905669283122,0.909430952742696,398,0.00032890152554277,0.307785901812498,0.0121542324462594,0.172120961060481,0.000643887543221243,0,10.5714285714286,28.3548387096774,22.0322580645161,1011.61290322581,70.6021505376344,24,0,1,0,10000,7,1
2,"SBEG",0.164769330993295,0.728950311740239,351,0.000113035711243931,0.310048828589391,0.012498708935908,0.392571112952223,0.00152129552792794,0,10,26.8617021276596,23.2365591397849,1011.65957446809,81.7127659574468,13,22,1,0,10000,5.06382978723404,7
2,"SBFZ",0.37274895934388,1.32381897699088,543,0.000718421171258102,0.371010132278598,0.0135517858209789,0.465962441314554,0.00234278919069353,0,12.1428571428571,27.8556701030928,22.979381443299,1011.82474226804,75.4845360824742,31,26,1,1,2000,6.95876288659794,9
2,"SBGL",0.354719647629694,2.04534352638505,1201,0.00233630082739612,0.362471636391781,0.0133702219802274,0.493717205191936,0.00239271464670773,0,13.5714285714286,29.0760869565217,22.945652173913,1009.0652173913,71.4347826086957,5,0,1,1,10000,5.89130434782609,2
2,"SBGR",0.347957376390696,1.05135526647791,3591,0.00352229071318039,0.350426608261492,0.0108758312622351,0.481289698978183,0.00183428199320417,4,10.4285714285714,25.0833333333333,21.4583333333333,1014.53125,82.28125,1,0,1,1,4000,5.125,10
2,"SBKP",0.408614545750121,1.16281798838948,1414,0.00180139612395813,0.325942190182913,0.0123489490265567,0.342999171499586,0.00138058658306515,0,10.7142857142857,25.21875,20.34375,1014,75.8645833333333,1,31,1,1,8000,5.10416666666667,6
2,"SBPA",0.338594975796613,1.24901467460123,945,0.00107155411762782,0.28606019453663,0.0117527756518179,0.440555095277548,0.00148114679833273,1,12.1428571428571,27.6989247311828,20.7311827956989,1008.54838709677,69.4731182795699,3,32,1,1,10000,6.75268817204301,3
2,"SBRF",0.30653953510854,1.01765455057224,1021,0.000853978360435236,0.286762114221494,0.0114032019604579,0.430267881800608,0.00140697868549897,1,10.2857142857143,28.8571428571429,22.2747252747253,1012.37362637363,67.8791208791209,33,0,0,0,2300,7.2967032967033,0
2,"SBRJ",0.250019704076377,1.65827978537841,1588,0.00176529297139728,0.314331838882274,0.0154181580200614,0.382905274785971,0.00185571900170597,1,13.7142857142857,27.8842105263158,24.2526315789474,1008.82105263158,81.2947368421053,8,0,1,1,10000,6.91578947368421,2
2,"SBSP",0.249086563164989,0.917194557997088,2827,0.00173169669715197,0.344796629770744,0.0137101730466586,0.385597901132284,0.00182280667318723,3,11.2857142857143,25.1,19.6,1015.14,72.99,24,0,1,0,1500,7.39,1
2,"SBSV",0.341402654536068,1.10499031376094,796,0.000805142372241437,0.372316601255796,0.0137612245201919,0.283140016570008,0.00145067703234556,0,13.8571428571429,27.6373626373626,23.4615384615385,1013.34065934066,78.2307692307692,32,16,0,0,7000,7.81318681318681,0
3,"SBBE",0.416818433751663,2.67181644712885,335,0.00100030535513174,0.360356017982474,0.0131647988271106,0.287627727147197,0.00136451010326356,0,10.4285714285714,26.4343434343434,23.9090909090909,1011.82474226804,86.7272727272727,32,18,1,1,10000,5.04040404040404,13
3,"SBBR",0.371878867630254,0.954589976336468,1627,0.0015486032737486,0.330234760350331,0.00848128478887109,0.290803645401823,0.000814487226553629,1,10,25.989010989011,18.1648351648352,1018.85714285714,64.7472527472527,34,0,0,0,3000,5.20879120879121,0
