"icao","semana","avistamento","colisao","quase_colisao"
"SBAE",1,0,1,0
"SBAE",6,0,1,0
"SBAR",4,0,1,0
"SBAR",6,0,3,0
"SBAR",7,0,1,0
"SBAR",9,0,1,0
"SBAR",10,0,1,0
"SBAR",11,1,0,0
"SBAR",27,0,1,0
"SBAR",29,0,1,0
"SBAR",31,0,2,0
"SBAR",32,0,0,1
"SBAR",36,0,1,0
"SBAR",41,0,1,0
"SBAR",44,1,0,0
"SBAR",46,0,1,0
"SBAR",49,1,0,0
"SBAR",53,0,1,0
"SBAU",7,0,2,0
"SBAU",9,0,1,0
"SBBE",1,1,2,0
"SBBE",2,4,1,0
"SBBE",3,1,1,0
"SBBE",4,1,2,0
"SBBE",6,0,2,0
"SBBE",7,2,2,0
"SBBE",8,1,0,0
"SBBE",10,5,0,0
"SBBE",11,1,2,0
"SBBE",12,2,0,0
"SBBE",13,0,1,0
"SBBE",17,0,3,0
"SBBE",21,0,2,0
"SBBE",22,0,1,0
"SBBE",23,0,0,1
"SBBE",27,1,1,0
"SBBE",29,0,1,0
"SBBE",35,0,1,0
"SBBE",37,0,3,0
"SBBE",41,1,1,0
"SBBE",42,0,1,0
"SBBE",43,0,1,0
"SBBE",44,0,4,0
"SBBE",45,2,3,0
"SBBE",46,0,1,0
"SBBE",48,0,2,0
"SBBE",49,0,2,0
"SBBE",50,1,1,0
"SBBE",51,1,0,0
"SBBE",52,2,1,0
"SBBH",12,1,0,0
"SBBH",14,1,0,0
"SBBR",1,0,7,0
"SBBR",2,1,5,0
"SBBR",3,0,5,0
"SBBR",4,0,2,0
"SBBR",5,0,4,0
"SBBR",6,0,2,0
"SBBR",7,0,1,0
"SBBR",8,0,1,0
"SBBR",9,1,4,0
"SBBR",10,0,2,0
"SBBR",11,0,1,0
"SBBR",12,0,1,0
"SBBR",13,0,1,0
"SBBR",24,0,1,0
"SBBR",26,0,2,0
"SBBR",28,0,2,0
"SBBR",32,0,1,0
"SBBR",34,0,2,0
"SBBR",38,0,1,0
"SBBR",39,0,10,0
"SBBR",40,1,3,0
"SBBR",41,0,1,0
"SBBR",42,0,8,0
"SBBR",43,0,2,0
"SBBR",44,0,2,0
"SBBR",45,0,4,0
"SBBR",46,0,6,0
"SBBR",47,0,5,0
"SBBR",48,1,2,0
"SBBR",49,0,1,0
