validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,trovoada,nevoa_umida,fumaca,vnt_rajada,vnt_vrb,chuvisco,pancada,nevoeiro
"['01:00', '01/01']",01/01 01:00,30,2,9999,NIL,NIL,NIL,NIL,NIL,24,22,1012,89,,,,,,,,
"['02:00', '01/01']",01/01 02:00,60,2,9999,NIL,NIL,NIL,NIL,NIL,23,23,1012,100,,,,,,,,
"['03:00', '01/01']",01/01 03:00,30,2,9999,NIL,NIL,NIL,NIL,NIL,24,23,1012,94,,,,,,,,
"['04:00', '01/01']",01/01 04:00,80,4,9999,NIL,NIL,NIL,NIL,NIL,23,23,1011,100,,,,,,,,
"['05:00', '01/01']",01/01 05:00,50,3,9999,NIL,NIL,NIL,NIL,NIL,23,22,1011,94,,,,,,,,
"['06:00', '01/01']",01/01 06:00,70,4,9999,NIL,NIL,NIL,NIL,NIL,23,22,1010,94,,,,,,,,
"['07:00', '01/01']",01/01 07:00,80,2,9999,NIL,NIL,NIL,NIL,NIL,23,22,1010,94,,,,,,,,
"['08:00', '01/01']",01/01 08:00,60,3,9999,NIL,NIL,NIL,NIL,NIL,23,22,1009,94,,,,,,,,
"['09:00', '01/01']",01/01 09:00,120,2,9999,NIL,NIL,NIL,10000,5,23,23,1011,100,,,,,,,,
"['10:00', '01/01']",01/01 10:00,160,2,9999,NIL,NIL,NIL,1700,5,24,23,1011,94,,,,,,,,
"['11:00', '01/01']",01/01 11:00,170,3,9999,NIL,NIL,NIL,10000,5,25,24,1012,94,,,,,,,,
"['12:00', '01/01']",01/01 12:00,170,2,9999,NIL,NIL,NIL,10000,5,27,23,1012,79,,,,,,,,
"['13:00', '01/01']",01/01 13:00,290,3,9999,NIL,NIL,NIL,1500,5,27,24,1013,84,,,,,,,,
"['14:00', '01/01']",01/01 14:00,160,6,9999,NIL,NIL,NIL,2000,5,27,24,1012,84,,,,,,,,
"['15:00', '01/01']",01/01 15:00,250,4,9999,NIL,NIL,NIL,2700,5,27,24,1011,84,,,,,,,,
"['16:00', '01/01']",01/01 16:00,290,5,9999,3000,180,NIL,2600,5,28,23,1010,74,,,,,,,,
"['16:20', '01/01']",01/01 16:20,310,3,500,NIL,NIL,1,2000,5,28,24,1010,79,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,2,2000,NIL,NIL,1,2000,5,24,23,1010,94,,,,,,,,
"['18:00', '01/01']",01/01 18:00,40,6,5000,NIL,NIL,1,2000,5,24,24,1009,100,,,,,,,,
"['19:00', '01/01']",01/01 19:00,40,5,9999,NIL,NIL,NIL,10000,5,26,24,1008,89,,,,,,,,
"['20:00', '01/01']",01/01 20:00,50,6,9999,NIL,NIL,NIL,10000,5,26,24,1008,89,,,,,,,,
"['20:35', '01/01']",01/01 20:35,80,7,4000,NIL,NIL,1,2000,5,25,24,1009,94,,,,,,,,
"['21:00', '01/01']",01/01 21:00,80,11,4000,NIL,NIL,1,2000,5,23,23,1009,100,,,,,,,,
"['22:00', '01/01']",01/01 22:00,40,5,9999,NIL,NIL,1,2500,5,23,23,1010,100,,,,,,,,
"['23:00', '01/01']",01/01 23:00,130,2,9999,NIL,NIL,1,7000,8,24,23,1010,94,,,,,,,,
"['00:00', '02/01']",02/01 00:00,80,3,9999,NIL,NIL,1,8000,8,24,23,1011,94,,,,,,,,
"['01:00', '02/01']",02/01 01:00,120,3,9999,,,NIL,NIL,3,24,23,1011,94,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,100,3,9999,,,NIL,NIL,3,24,23,1012,94,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,110,3,9999,,,NIL,NIL,3,24,23,1012,94,NIL,NIL,,,,,,
"['04:00', '02/01']",02/01 04:00,110,2,9999,,,NIL,NIL,3,24,23,1011,94,NIL,NIL,,,,,,
"['05:00', '02/01']",02/01 05:00,80,2,9999,,,NIL,NIL,3,24,23,1010,94,NIL,NIL,,,,,,
"['06:00', '02/01']",02/01 06:00,90,3,9999,,,NIL,2500,5,24,23,1010,94,NIL,NIL,,,,,,
"['07:00', '02/01']",02/01 07:00,0,0,9999,,,NIL,NIL,3,24,23,1010,94,NIL,NIL,,,,,,
"['07:37', '02/01']",02/01 07:37,110,3,3000,,,1,1000,5,24,23,1010,94,NIL,NIL,,,,,,
"['08:00', '02/01']",02/01 08:00,80,7,2500,,,1,1300,5,24,23,1010,94,NIL,1,,,,,,
"['09:00', '02/01']",02/01 09:00,100,7,3500,,,1,2000,5,23,23,1010,100,NIL,1,,,,,,
"['09:25', '02/01']",02/01 09:25,80,6,7000,,,1,2300,5,23,23,1011,100,NIL,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,60,2,9999,,,1,7000,5,23,23,1011,100,NIL,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,40,2,9000,,,1,7000,8,24,23,1012,94,NIL,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,60,3,9000,,,NIL,8300,5,25,24,1013,94,NIL,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,50,5,9999,,,NIL,10000,8,26,24,1013,89,NIL,NIL,,,,,,
"['14:00', '02/01']",02/01 14:00,50,5,9999,,,NIL,1500,5,27,24,1012,84,NIL,NIL,,,,,,
"['15:00', '02/01']",02/01 15:00,10,6,9999,,,NIL,10000,5,27,24,1012,84,NIL,NIL,,,,,,
"['16:00', '02/01']",02/01 16:00,60,8,9999,,,NIL,10000,5,28,24,1011,79,NIL,NIL,,,,,,
"['17:00', '02/01']",02/01 17:00,40,8,9999,,,NIL,10000,5,29,24,1010,74,NIL,NIL,,,,,,
"['18:00', '02/01']",02/01 18:00,350,9,9999,,,NIL,10000,5,28,25,1009,84,NIL,NIL,,,,,,
"['19:00', '02/01']",02/01 19:00,360,12,9999,,,NIL,1800,5,28,24,1008,79,NIL,NIL,,,,,,
"['20:00', '02/01']",02/01 20:00,30,8,9999,,,NIL,10000,5,28,24,1009,79,NIL,NIL,,,,,,
"['20:20', '02/01']",02/01 20:20,70,15,2500,,,1,1700,5,24,23,1010,94,1,NIL,,,,,,
"['21:00', '02/01']",02/01 21:00,100,11,3500,,,1,1400,5,23,23,IL,100,1,NIL,,,,,,
"['22:00', '02/01']",02/01 22:00,90,6,9999,,,1,2000,5,24,23,IL,94,NIL,NIL,,,,,,
"['23:00', '02/01']",02/01 23:00,60,3,9999,,,NIL,10000,5,24,23,1011,94,NIL,NIL,,,,,,
"['00:00', '03/01']",03/01 00:00,100,4,9999,,,NIL,NIL,3,24,23,1012,94,NIL,NIL,,,,,,
"['01:00', '03/01']",03/01 01:00,110,2,9999,NIL,NIL,NIL,NIL,NIL,24,23,1012,94,NIL,,,,,,,
"['02:00', '03/01']",03/01 02:00,120,3,9999,NIL,NIL,NIL,NIL,NIL,24,23,1012,94,NIL,,,,,,,
"['03:00', '03/01']",03/01 03:00,130,3,9999,NIL,NIL,NIL,NIL,NIL,24,23,1012,94,NIL,,,,,,,
"['04:00', '03/01']",03/01 04:00,120,2,9999,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,NIL,,,,,,,
"['05:00', '03/01']",03/01 05:00,110,3,9999,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,NIL,,,,,,,
"['06:00', '03/01']",03/01 06:00,110,2,9999,NIL,NIL,NIL,NIL,NIL,24,24,1011,100,NIL,,,,,,,
"['07:00', '03/01']",03/01 07:00,190,2,9999,NIL,NIL,NIL,NIL,2,24,24,1011,100,NIL,,,,,,,
"['08:00', '03/01']",03/01 08:00,180,2,9999,NIL,NIL,NIL,NIL,2,24,24,1011,100,NIL,,,,,,,
"['09:00', '03/01']",03/01 09:00,0,0,9999,NIL,NIL,NIL,10000,5,24,23,1011,94,NIL,,,,,,,
"['10:00', '03/01']",03/01 10:00,150,2,9999,NIL,NIL,NIL,NIL,2,24,24,1012,100,NIL,,,,,,,
"['11:00', '03/01']",03/01 11:00,200,2,9999,NIL,NIL,NIL,10000,5,25,24,1013,94,NIL,,,,,,,
"['12:00', '03/01']",03/01 12:00,150,2,9999,NIL,NIL,NIL,10000,5,26,24,1014,89,NIL,,,,,,,
"['13:00', '03/01']",03/01 13:00,100,4,9999,NIL,NIL,NIL,2000,5,29,25,1014,79,NIL,,,,,,,
"['14:00', '03/01']",03/01 14:00,280,4,9999,NIL,NIL,NIL,2000,5,28,25,1014,84,NIL,,,,,,,
"['15:00', '03/01']",03/01 15:00,240,4,9999,NIL,NIL,NIL,2000,5,29,25,1013,79,NIL,,,,,,,
"['16:00', '03/01']",03/01 16:00,290,5,9999,NIL,NIL,NIL,3000,5,29,24,1012,74,NIL,,,,,,,
"['17:00', '03/01']",03/01 17:00,10,10,8000,3000,180,1,2000,5,27,25,1012,89,1,,,,,,,
"['18:00', '03/01']",03/01 18:00,100,2,3500,NIL,NIL,1,2300,5,25,24,IL,94,1,,,,,,,
"['18:22', '03/01']",03/01 18:22,350,3,9999,NIL,NIL,NIL,10000,5,26,25,IL,94,NIL,,,,,,,
"['19:00', '03/01']",03/01 19:00,330,5,9999,NIL,NIL,NIL,10000,5,26,25,1010,94,NIL,,,,,,,
"['20:00', '03/01']",03/01 20:00,360,4,9999,NIL,NIL,NIL,10000,5,27,24,1010,84,NIL,,,,,,,
"['21:00', '03/01']",03/01 21:00,40,5,9999,NIL,NIL,NIL,10000,5,27,24,1010,84,NIL,,,,,,,
"['22:00', '03/01']",03/01 22:00,30,4,9999,NIL,NIL,NIL,NIL,3,27,24,1011,84,NIL,,,,,,,
"['23:00', '03/01']",03/01 23:00,150,5,9999,NIL,NIL,NIL,10000,5,26,24,1012,89,NIL,,,,,,,
"['00:00', '04/01']",04/01 00:00,140,5,9999,NIL,NIL,NIL,NIL,3,25,23,1013,89,NIL,,,,,,,
"['01:00', '04/01']",04/01 01:00,220,3,9999,,,,NIL,3,24,23,1014,94,,,,,,,,
"['02:00', '04/01']",04/01 02:00,170,5,9999,,,,NIL,3,25,24,1014,94,,,,,,,,
"['03:00', '04/01']",04/01 03:00,280,2,9999,,,,NIL,3,25,24,1013,94,,,,,,,,
"['04:00', '04/01']",04/01 04:00,240,4,9999,,,,NIL,3,25,24,1013,94,,,,,,,,
"['05:00', '04/01']",04/01 05:00,250,3,9999,,,,1900,5,25,24,1012,94,,,,,,,,
"['06:00', '04/01']",04/01 06:00,310,2,9999,,,,NIL,3,25,24,1012,94,,,,,,,,
"['07:00', '04/01']",04/01 07:00,300,2,9999,,,,1900,5,26,25,1011,94,,,,,,,,
"['08:00', '04/01']",04/01 08:00,310,3,9999,,,,1000,5,26,25,1012,94,,,,,,,,
"['09:00', '04/01']",04/01 09:00,320,5,9999,,,,1000,5,26,24,1012,89,,,,,,,,
"['10:00', '04/01']",04/01 10:00,310,3,9999,,,,1000,5,25,24,1013,94,,,,,,,,
"['11:00', '04/01']",04/01 11:00,290,3,9999,,,,1700,5,26,24,1014,89,,,,,,,,
"['12:00', '04/01']",04/01 12:00,310,4,9999,,,,1600,5,27,24,1014,84,,,,,,,,
"['13:00', '04/01']",04/01 13:00,310,4,9999,,,,2000,5,28,23,1015,74,,,,,,,,
"['14:00', '04/01']",04/01 14:00,340,8,9999,,,,1700,5,27,24,1014,84,,,,,,,,
"['15:00', '04/01']",04/01 15:00,300,6,9999,,,,NIL,3,29,25,1014,79,,,,,,,,
"['16:00', '04/01']",04/01 16:00,340,7,9999,,,,NIL,3,29,24,1012,74,,,,,,,,
"['17:00', '04/01']",04/01 17:00,350,7,9999,,,,NIL,3,29,24,1011,74,,,,,,,,
"['18:00', '04/01']",04/01 18:00,360,6,9999,,,,2000,5,29,23,1010,70,,,,,,,,
"['19:00', '04/01']",04/01 19:00,360,9,9999,,,,2000,5,28,24,1010,79,,,,,,,,
"['20:00', '04/01']",04/01 20:00,350,6,9999,,,,2300,5,28,24,1010,79,,,,,,,,
"['21:00', '04/01']",04/01 21:00,360,6,9999,,,,2300,5,28,24,1011,79,,,,,,,,
"['22:00', '04/01']",04/01 22:00,90,4,9999,,,,9000,5,26,24,1012,89,,,,,,,,
"['23:00', '04/01']",04/01 23:00,90,4,9999,,,,NIL,3,25,24,1012,94,,,,,,,,
"['00:00', '05/01']",05/01 00:00,80,5,9999,,,,NIL,3,26,24,1013,89,,,,,,,,
"['01:00', '05/01']",05/01 01:00,100,4,9999,,,NIL,NIL,3,25,24,1013,94,,,,,,,,
"['02:00', '05/01']",05/01 02:00,110,2,9999,,,NIL,NIL,3,25,24,1013,94,,,,,,,,
"['03:00', '05/01']",05/01 03:00,130,3,9999,,,NIL,NIL,3,25,24,1012,94,,,,,,,,
"['04:00', '05/01']",05/01 04:00,140,3,9999,,,NIL,NIL,3,25,24,1012,94,,,,,,,,
"['05:00', '05/01']",05/01 05:00,100,3,9999,,,NIL,NIL,3,24,24,1012,100,,,,,,,,
"['06:00', '05/01']",05/01 06:00,120,3,9999,,,NIL,NIL,NIL,24,24,1012,100,,,,,,,,
"['07:00', '05/01']",05/01 07:00,90,2,9999,,,NIL,NIL,NIL,24,24,1011,100,,,,,,,,
"['08:00', '05/01']",05/01 08:00,110,2,9999,,,NIL,NIL,NIL,24,23,1011,94,,,,,,,,
"['09:00', '05/01']",05/01 09:00,90,6,9999,,,NIL,1300,5,24,23,1011,94,,,,,,,,
"['10:00', '05/01']",05/01 10:00,80,8,9999,,,NIL,7000,5,24,23,1012,94,,,,,,,,
"['11:00', '05/01']",05/01 11:00,350,4,9999,,,NIL,10000,5,25,24,1013,94,,,,,,,,
"['12:00', '05/01']",05/01 12:00,50,5,9999,,,NIL,1500,8,26,24,1013,89,,,,,,,,
"['13:00', '05/01']",05/01 13:00,70,6,9999,,,NIL,1500,8,26,24,1013,89,,,,,,,,
"['14:00', '05/01']",05/01 14:00,20,5,9999,,,NIL,1500,5,28,24,1013,79,,,,,,,,
"['15:00', '05/01']",05/01 15:00,350,8,9999,,,NIL,3300,5,27,24,1013,84,,,,,,,,
"['16:00', '05/01']",05/01 16:00,340,6,9999,,,NIL,3300,5,27,24,1012,84,,,,,,,,
"['17:00', '05/01']",05/01 17:00,350,9,9999,,,NIL,3300,5,28,24,1011,79,,,,,,,,
"['18:00', '05/01']",05/01 18:00,350,10,9999,,,NIL,1700,5,27,23,1010,79,,,,,,,,
"['19:00', '05/01']",05/01 19:00,350,8,9999,,,NIL,1500,5,27,23,1009,79,,,,,,,,
"['20:00', '05/01']",05/01 20:00,350,9,9000,,,1,1300,5,26,23,1010,84,,,,,,,,
"['21:00', '05/01']",05/01 21:00,360,9,9999,,,NIL,1200,5,26,23,1011,84,,,,,,,,
"['21:25', '05/01']",05/01 21:25,360,10,3000,,,1,1000,5,25,24,1011,94,,,,,,,,
"['22:00', '05/01']",05/01 22:00,40,5,5000,,,1,1000,5,24,24,1011,100,,,,,,,,
"['23:00', '05/01']",05/01 23:00,30,6,9000,,,NIL,10000,5,25,24,1012,94,,,,,,,,
"['00:00', '06/01']",06/01 00:00,330,7,9999,,,1,1000,5,25,24,1013,94,,,,,,,,
"['01:00', '06/01']",06/01 01:00,330,4,9999,,,NIL,8000,5,25,24,1013,94,,NIL,,,,,,
"['02:00', '06/01']",06/01 02:00,350,6,9999,,,NIL,7000,5,25,23,1013,89,,NIL,,,,,,
"['03:00', '06/01']",06/01 03:00,330,4,9999,,,NIL,1100,5,25,24,1012,94,,NIL,,,,,,
