validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['01:00', '01/01']",01/01 01:00,70,4,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1012,89,,,,,,
"['02:00', '01/01']",01/01 02:00,130,3,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['03:00', '01/01']",01/01 03:00,160,4,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['04:00', '01/01']",01/01 04:00,120,3,NIL,NIL,NIL,NIL,NIL,NIL,3,25,23,1013,89,,,,,,
"['05:00', '01/01']",01/01 05:00,220,3,9999,NIL,NIL,NIL,NIL,NIL,3,25,23,1012,89,,,,,,
"['06:00', '01/01']",01/01 06:00,140,2,9999,NIL,NIL,NIL,NIL,NIL,3,25,23,1011,89,,,,,,
"['07:00', '01/01']",01/01 07:00,150,2,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,23,1011,89,,,,,,
"['08:00', '01/01']",01/01 08:00,140,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['09:00', '01/01']",01/01 09:00,140,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['10:00', '01/01']",01/01 10:00,150,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,23,1011,94,,,,,,
"['11:00', '01/01']",01/01 11:00,130,3,9999,NIL,NIL,NIL,NIL,10000,5,25,23,1013,89,,,,,,
"['12:00', '01/01']",01/01 12:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,27,24,1013,84,,,,,,
"['13:00', '01/01']",01/01 13:00,50,5,9999,NIL,NIL,NIL,NIL,1800,5,29,24,1013,74,,,,,,
"['14:00', '01/01']",01/01 14:00,70,6,9999,NIL,NIL,NIL,NIL,2500,5,30,24,1013,70,,,,,,
"['15:00', '01/01']",01/01 15:00,120,6,9999,NIL,NIL,NIL,NIL,3000,5,30,23,1013,66,,,,,,
"['16:00', '01/01']",01/01 16:00,350,6,9999,NIL,NIL,NIL,NIL,2000,5,29,24,1012,74,,,,,,
"['16:18', '01/01']",01/01 16:18,320,7,9000,3000,90,1,NIL,1300,5,28,25,1011,84,,,,,,
"['16:38', '01/01']",01/01 16:38,330,5,9999,NIL,NIL,NIL,1,1700,5,27,25,1011,89,,,,,,
"['17:00', '01/01']",01/01 17:00,330,5,9999,NIL,NIL,NIL,1,2000,5,28,25,1011,84,,,,,,
"['18:00', '01/01']",01/01 18:00,40,5,9999,NIL,NIL,NIL,1,NIL,2,26,24,1010,89,,,,,,
"['19:00', '01/01']",01/01 19:00,40,9,9999,NIL,NIL,NIL,NIL,NIL,2,27,23,1009,79,,,,,,
"['20:00', '01/01']",01/01 20:00,50,5,9999,NIL,NIL,NIL,NIL,NIL,3,26,22,1010,79,,,,,,
"['21:00', '01/01']",01/01 21:00,110,4,9999,NIL,NIL,NIL,NIL,NIL,3,26,23,1011,84,,,,,,
"['22:00', '01/01']",01/01 22:00,130,5,9999,NIL,NIL,NIL,NIL,NIL,2,26,22,1011,79,,,,,,
"['23:00', '01/01']",01/01 23:00,150,2,9999,NIL,NIL,NIL,NIL,NIL,3,26,24,1011,89,,,,,,
"['00:00', '02/01']",02/01 00:00,240,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,,,,,,
"['01:00', '02/01']",02/01 01:00,130,2,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1012,94,NIL,NIL,,,,
"['02:00', '02/01']",02/01 02:00,120,4,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,NIL,,,,
"['03:00', '02/01']",02/01 03:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1011,94,NIL,NIL,,,,
"['04:00', '02/01']",02/01 04:00,100,4,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['05:00', '02/01']",02/01 05:00,90,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['06:00', '02/01']",02/01 06:00,120,3,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1011,94,NIL,NIL,,,,
"['07:00', '02/01']",02/01 07:00,90,3,9999,NIL,NIL,NIL,NIL,NIL,3,25,24,1011,94,NIL,NIL,,,,
"['08:00', '02/01']",02/01 08:00,120,2,9999,NIL,NIL,NIL,NIL,NIL,3,24,22,1011,89,NIL,NIL,,,,
"['09:00', '02/01']",02/01 09:00,60,1,9000,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,NIL,NIL,,,,
"['10:00', '02/01']",02/01 10:00,70,2,9000,NIL,NIL,NIL,NIL,NIL,NIL,25,24,1011,94,NIL,NIL,,,,
"['12:00', '02/01']",02/01 12:00,110,5,9999,NIL,NIL,NIL,NIL,1800,5,28,25,1012,84,NIL,90,,,,
"['13:00', '02/01']",02/01 13:00,100,6,9999,NIL,NIL,NIL,NIL,1800,5,29,25,1012,79,NIL,100,,,,
"['14:00', '02/01']",02/01 14:00,80,8,9999,NIL,NIL,NIL,NIL,NIL,3,30,24,1012,70,NIL,NIL,,,,
"['15:00', '02/01']",02/01 15:00,50,9,9999,NIL,NIL,NIL,NIL,NIL,3,31,24,1011,66,NIL,80,,,,
"['16:00', '02/01']",02/01 16:00,70,8,9999,NIL,NIL,NIL,NIL,NIL,3,32,24,1010,63,NIL,60,,,,
"['17:00', '02/01']",02/01 17:00,360,10,9999,NIL,NIL,NIL,NIL,3500,5,29,25,1009,79,NIL,NIL,,,,
"['17:20', '02/01']",02/01 17:20,60,23,4000,NIL,NIL,1,1,2000,5,24,21,1009,83,NIL,NIL,,,,
"['18:00', '02/01']",02/01 18:00,30,7,8000,3000,315,1,1,2000,5,23,20,1009,83,NIL,NIL,,,,
"['18:30', '02/01']",02/01 18:30,40,5,9999,NIL,NIL,NIL,1,NIL,3,24,20,1008,78,NIL,NIL,,,,
"['19:00', '02/01']",02/01 19:00,50,6,9999,NIL,NIL,NIL,NIL,NIL,3,25,22,1007,83,NIL,NIL,,,,
"['20:00', '02/01']",02/01 20:00,30,4,9999,NIL,NIL,NIL,NIL,10000,5,26,23,1007,84,NIL,NIL,,,,
"['21:00', '02/01']",02/01 21:00,40,5,9999,NIL,NIL,NIL,NIL,3000,5,27,25,1008,89,NIL,NIL,,,,
"['22:00', '02/01']",02/01 22:00,40,5,9999,NIL,NIL,NIL,NIL,8000,5,27,25,1008,89,NIL,NIL,,,,
"['22:13', '02/01']",02/01 22:13,130,14,8000,NIL,NIL,1,NIL,1000,5,25,21,1009,79,25,NIL,,,,
"['23:00', '02/01']",02/01 23:00,160,5,9999,NIL,NIL,NIL,NIL,7000,5,23,22,1009,94,NIL,NIL,,,,
