validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['01:00', '01/01']",01/01 01:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,22,20,1016,88,,,,,,,,
"['02:00', '01/01']",01/01 02:00,130,3,135,9999,NIL,NIL,NIL,NIL,NIL,22,19,1017,83,,,,,,,,
"['03:00', '01/01']",01/01 03:00,VRB,1,NIL,9999,NIL,NIL,NIL,10000,5,22,20,1016,88,,,,,,,,
"['04:00', '01/01']",01/01 04:00,VRB,2,NIL,9999,NIL,NIL,NIL,8000,5,22,20,1016,88,,,,,,,,
"['05:00', '01/01']",01/01 05:00,VRB,2,NIL,9999,NIL,NIL,NIL,7000,5,22,19,1015,83,,,,,,,,
"['06:00', '01/01']",01/01 06:00,VRB,1,NIL,9999,NIL,NIL,NIL,7000,5,21,20,1015,94,,,,,,,,
"['07:00', '01/01']",01/01 07:00,50,3,NIL,9000,4000,0,1,7000,5,22,19,1015,83,,,,,,,,
"['08:00', '01/01']",01/01 08:00,60,3,NIL,9999,NIL,NIL,NIL,7000,5,21,19,1016,88,,,,,,,,
"['09:00', '01/01']",01/01 09:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,21,19,1016,88,,,,,,,,
"['10:00', '01/01']",01/01 10:00,270,2,NIL,9999,NIL,NIL,NIL,10000,5,22,18,1016,78,,,,,,,,
"['11:00', '01/01']",01/01 11:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1017,83,,,,,,,,
"['12:00', '01/01']",01/01 12:00,320,4,NIL,9999,NIL,NIL,NIL,10000,5,24,20,1017,78,,,,,,,,
"['13:00', '01/01']",01/01 13:00,260,3,NIL,9999,NIL,NIL,NIL,3000,5,26,20,1017,70,,,,,,,,
"['14:00', '01/01']",01/01 14:00,250,8,260,8000,NIL,NIL,1,3000,5,25,19,1017,69,,,,,,,,
"['15:00', '01/01']",01/01 15:00,260,4,NIL,9999,NIL,NIL,NIL,3000,5,23,20,1017,83,,,,,,,,
"['16:00', '01/01']",01/01 16:00,90,4,NIL,9999,NIL,NIL,NIL,2500,5,25,21,1015,79,,,,,,,,
"['17:00', '01/01']",01/01 17:00,100,4,NIL,9999,NIL,NIL,NIL,3000,5,26,18,1015,61,,,,,,,,
"['18:00', '01/01']",01/01 18:00,260,8,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1014,83,,,,,,,,
"['19:00', '01/01']",01/01 19:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,24,19,1013,74,,,,,,,,
"['20:00', '01/01']",01/01 20:00,340,3,NIL,9999,NIL,NIL,NIL,10000,5,25,19,1012,69,,,,,,,,
