validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoeiro,pancada,nevoa_umida,nevoa_seca,fumaca,chuvisco
"['01:00', '01/01']",01/01 01:00,120,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,23,17,1019,69,,,,,,
"['02:00', '01/01']",01/01 02:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,23,17,1019,69,,,,,,
"['03:00', '01/01']",01/01 03:00,260,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,22,18,1019,78,,,,,,
"['04:00', '01/01']",01/01 04:00,0,0,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,22,18,1018,78,,,,,,
"['05:00', '01/01']",01/01 05:00,250,4,NIL,230,9999,NIL,NIL,NIL,NIL,4000,5,22,17,1018,73,,,,,,
"['06:00', '01/01']",01/01 06:00,210,4,NIL,215,9999,NIL,NIL,NIL,NIL,NIL,3,20,17,1018,83,,,,,,
"['07:00', '01/01']",01/01 07:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,20,17,1018,83,,,,,,
"['08:00', '01/01']",01/01 08:00,40,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,7000,5,20,17,1018,83,,,,,,
"['09:00', '01/01']",01/01 09:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,17,1019,88,,,,,,
"['10:00', '01/01']",01/01 10:00,260,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,21,17,1019,78,,,,,,
"['11:00', '01/01']",01/01 11:00,190,3,NIL,200,9999,NIL,NIL,NIL,NIL,NIL,NIL,24,18,1020,69,,,,,,
"['12:00', '01/01']",01/01 12:00,170,7,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,2,26,18,1020,61,,,,,,
"['13:00', '01/01']",01/01 13:00,120,6,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,27,18,1020,58,,,,,,
"['14:00', '01/01']",01/01 14:00,60,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,28,17,1020,51,,,,,,
"['15:00', '01/01']",01/01 15:00,30,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,16,1020,45,,,,,,
"['16:00', '01/01']",01/01 16:00,50,5,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,17,1019,48,,,,,,
"['17:00', '01/01']",01/01 17:00,50,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,4000,5,29,16,1018,45,,,,,,
"['18:00', '01/01']",01/01 18:00,260,10,NIL,240,9999,3000,180,1,1,4000,5,24,17,1017,65,,,,,,
