validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['01:00', '01/01']",01/01 01:00,90,8,9999,NIL,NIL,NIL,NIL,24,17,1015,65,,,,,,,,
"['02:00', '01/01']",01/01 02:00,80,7,9999,NIL,NIL,NIL,NIL,23,17,1015,69,,,,,,,,
"['03:00', '01/01']",01/01 03:00,70,3,9999,NIL,NIL,NIL,NIL,22,16,1015,69,,,,,,,,
"['04:00', '01/01']",01/01 04:00,60,5,9999,NIL,NIL,NIL,NIL,22,16,1015,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,50,6,9999,NIL,NIL,NIL,NIL,22,16,1014,69,,,,,,,,
"['06:00', '01/01']",01/01 06:00,100,6,9999,NIL,NIL,NIL,NIL,22,16,1014,69,,,,,,,,
"['07:00', '01/01']",01/01 07:00,100,2,9999,NIL,NIL,NIL,NIL,20,16,1014,78,,,,,,,,
"['08:00', '01/01']",01/01 08:00,100,2,9999,NIL,NIL,NIL,NIL,20,16,1014,78,,,,,,,,
"['09:00', '01/01']",01/01 09:00,150,3,9999,NIL,NIL,NIL,NIL,19,17,1015,88,,,,,,,,
"['10:00', '01/01']",01/01 10:00,160,2,9999,NIL,NIL,NIL,NIL,20,17,1015,83,,,,,,,,
"['11:00', '01/01']",01/01 11:00,40,8,9999,NIL,NIL,NIL,NIL,23,17,1015,69,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,5,9999,NIL,NIL,NIL,2,24,17,1016,65,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,7,9999,NIL,NIL,NIL,3,26,18,1015,61,,,,,,,,
"['14:00', '01/01']",01/01 14:00,300,6,9999,NIL,NIL,NIL,3,27,17,1015,54,,,,,,,,
"['15:00', '01/01']",01/01 15:00,330,6,9999,NIL,NIL,4000,5,28,17,1014,51,,,,,,,,
"['16:00', '01/01']",01/01 16:00,250,4,9999,NIL,NIL,4000,5,29,17,1013,48,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,4,9999,NIL,NIL,4500,5,29,17,1012,48,,,,,,,,
"['18:00', '01/01']",01/01 18:00,230,5,9999,NIL,NIL,NIL,3,32,17,1011,41,,,,,,,,
"['19:00', '01/01']",01/01 19:00,0,0,9999,NIL,NIL,NIL,3,30,16,1010,43,,,,,,,,
"['20:00', '01/01']",01/01 20:00,360,4,9999,NIL,NIL,NIL,3,30,17,1010,46,,,,,,,,
"['21:00', '01/01']",01/01 21:00,340,5,9999,NIL,NIL,NIL,3,29,17,1010,48,,,,,,,,
"['22:00', '01/01']",01/01 22:00,350,6,9999,NIL,NIL,NIL,3,28,16,1010,48,,,,,,,,
"['23:00', '01/01']",01/01 23:00,350,11,9999,NIL,NIL,NIL,3,26,18,1012,61,,,,,,,,
"['23:37', '01/01']",01/01 23:37,340,12,9999,1,1,7000,5,23,19,1013,78,,,,,,,,
"['00:00', '02/01']",02/01 00:00,340,14,9999,1,1,7000,5,22,19,1013,83,,,,,,,,
"['01:00', '02/01']",02/01 01:00,360,12,9999,NIL,1,7000,5,23,18,1013,73,NIL,NIL,NIL,,,,,
"['02:00', '02/01']",02/01 02:00,90,10,9999,NIL,1,3500,5,22,18,1014,78,NIL,NIL,NIL,,,,,
"['02:11', '02/01']",02/01 02:11,160,5,3000,1,1,3000,5,21,19,1015,88,NIL,NIL,NIL,,,,,
"['03:00', '02/01']",02/01 03:00,160,6,3000,1,1,1500,5,19,19,1015,100,NIL,NIL,NIL,,,,,
"['04:00', '02/01']",02/01 04:00,150,4,3000,1,1,3000,5,19,19,1014,100,NIL,NIL,NIL,,,,,
"['04:35', '02/01']",02/01 04:35,160,8,1000,NIL,1,200,5,19,19,1014,100,NIL,NIL,1,,,,,
"['05:00', '02/01']",02/01 05:00,170,8,1500,1,1,200,5,19,19,1014,100,NIL,NIL,NIL,,,,,
"['05:43', '02/01']",02/01 05:43,160,3,1500,1,1,200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['06:00', '02/01']",02/01 06:00,0,0,2000,1,1,200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['06:19', '02/01']",02/01 06:19,80,4,4000,1,1,1500,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['07:00', '02/01']",02/01 07:00,0,0,4000,1,NIL,1200,5,19,19,1013,100,NIL,NIL,NIL,,,,,
"['07:33', '02/01']",02/01 07:33,50,5,900,NIL,NIL,1200,5,19,19,1013,100,NIL,1,NIL,,,,,
"['08:00', '02/01']",02/01 08:00,40,5,600,NIL,NIL,100,8,19,19,1014,100,NIL,1,NIL,,,,,
"['08:32', '02/01']",02/01 08:32,360,5,1500,NIL,NIL,200,5,19,19,1014,100,NIL,NIL,1,,,,,
"['09:00', '02/01']",02/01 09:00,200,2,2000,NIL,NIL,200,5,19,19,1014,100,NIL,1,NIL,,,,,
"['09:13', '02/01']",02/01 09:13,0,0,3000,NIL,NIL,10000,5,20,19,1014,94,NIL,1,NIL,,,,,
"['09:27', '02/01']",02/01 09:27,100,2,3000,NIL,NIL,200,5,20,19,1015,94,NIL,1,NIL,,,,,
"['10:00', '02/01']",02/01 10:00,30,4,3000,NIL,NIL,200,5,20,20,1015,100,NIL,1,NIL,,,,,
"['11:00', '02/01']",02/01 11:00,330,5,9999,NIL,NIL,400,5,21,20,1015,94,NIL,NIL,NIL,,,,,
"['12:00', '02/01']",02/01 12:00,320,6,9999,NIL,NIL,800,5,23,20,1015,83,NIL,NIL,NIL,,,,,
"['12:33', '02/01']",02/01 12:33,310,7,9999,NIL,NIL,1500,5,23,20,1015,83,NIL,NIL,NIL,,,,,
"['13:00', '02/01']",02/01 13:00,320,9,9999,NIL,NIL,2000,5,24,20,1015,78,NIL,NIL,NIL,,,,,
"['14:00', '02/01']",02/01 14:00,310,12,9999,NIL,NIL,2500,5,25,19,1015,69,NIL,NIL,NIL,,,,,
"['15:00', '02/01']",02/01 15:00,320,10,9999,NIL,NIL,3000,5,26,19,1014,65,NIL,NIL,NIL,,,,,
"['16:00', '02/01']",02/01 16:00,310,12,9999,NIL,NIL,3500,5,27,19,1013,62,NIL,NIL,NIL,,,,,
"['17:00', '02/01']",02/01 17:00,300,22,800,1,1,1200,5,21,20,1013,94,32,NIL,NIL,,,,,
"['17:19', '02/01']",02/01 17:19,340,12,3500,1,1,1200,5,21,21,1013,100,22,NIL,NIL,,,,,
