validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['01:00', '01/01']",01/01 01:00,90,8,NIL,9999,NIL,NIL,4800,5,26,18,1017,61,,,,,,,,
"['02:00', '01/01']",01/01 02:00,120,10,NIL,9999,NIL,NIL,NIL,NIL,25,18,1017,65,,,,,,,,
"['03:00', '01/01']",01/01 03:00,130,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1017,73,,,,,,,,
"['04:00', '01/01']",01/01 04:00,90,7,NIL,9999,NIL,NIL,NIL,NIL,24,18,1017,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,70,7,NIL,9999,NIL,NIL,NIL,NIL,23,18,1017,73,,,,,,,,
"['06:00', '01/01']",01/01 06:00,200,2,NIL,9999,NIL,NIL,NIL,NIL,22,18,1016,78,,,,,,,,
"['07:00', '01/01']",01/01 07:00,190,2,NIL,9999,NIL,NIL,NIL,NIL,22,18,1016,78,,,,,,,,
"['08:00', '01/01']",01/01 08:00,360,1,NIL,9999,NIL,NIL,NIL,NIL,21,18,1016,83,,,,,,,,
"['09:00', '01/01']",01/01 09:00,150,2,NIL,9999,NIL,NIL,NIL,3,21,18,1017,83,,,,,,,,
"['10:00', '01/01']",01/01 10:00,140,2,NIL,9999,NIL,NIL,NIL,NIL,23,19,1018,78,,,,,,,,
"['11:00', '01/01']",01/01 11:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,25,17,1018,61,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,27,17,1018,54,,,,,,,,
"['13:00', '01/01']",01/01 13:00,300,3,NIL,9999,NIL,NIL,NIL,2,28,18,1018,55,,,,,,,,
"['14:00', '01/01']",01/01 14:00,290,3,NIL,9999,NIL,NIL,NIL,3,29,17,1018,48,,,,,,,,
"['15:00', '01/01']",01/01 15:00,40,3,NIL,9999,NIL,NIL,NIL,3,30,18,1017,49,,,,,,,,
"['16:00', '01/01']",01/01 16:00,300,5,NIL,9999,NIL,NIL,4500,5,31,18,1017,46,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,5,NIL,9999,NIL,NIL,4800,5,31,18,1016,46,,,,,,,,
"['18:00', '01/01']",01/01 18:00,270,4,NIL,9999,NIL,NIL,NIL,3,32,18,1014,43,,,,,,,,
"['19:00', '01/01']",01/01 19:00,210,7,NIL,9999,NIL,NIL,NIL,3,24,18,1014,69,,,,,,,,
"['20:00', '01/01']",01/01 20:00,150,11,NIL,9999,NIL,NIL,NIL,3,32,18,1013,43,,,,,,,,
"['20:37', '01/01']",01/01 20:37,320,10,20,4000,1,NIL,1700,5,25,17,1015,61,,,,,,,,
"['21:00', '01/01']",01/01 21:00,120,11,NIL,4000,1,1,1700,5,24,19,1015,74,,,,,,,,
"['22:00', '01/01']",01/01 22:00,310,13,NIL,3000,1,1,500,5,20,19,1018,94,,,,,,,,
"['23:00', '01/01']",01/01 23:00,270,10,NIL,3000,1,1,500,5,19,18,1020,94,,,,,,,,
"['23:25', '01/01']",01/01 23:25,160,7,NIL,4000,1,1,4000,5,19,17,1019,88,,,,,,,,
"['00:00', '02/01']",02/01 00:00,130,11,NIL,4000,1,1,8000,5,19,18,1019,94,,,,,,,,
"['01:00', '02/01']",02/01 01:00,120,9,,9999,1,1,8000,5,19,17,1019,88,NIL,NIL,NIL,,,,,
"['02:00', '02/01']",02/01 02:00,140,6,,9999,NIL,NIL,10000,5,19,17,1018,88,NIL,NIL,NIL,,,,,
"['03:00', '02/01']",02/01 03:00,30,6,,9999,NIL,NIL,10000,5,19,18,1018,94,NIL,NIL,NIL,,,,,
"['03:15', '02/01']",02/01 03:15,10,5,,9999,NIL,NIL,500,5,19,18,1018,94,3000,180,1,,,,,
"['03:38', '02/01']",02/01 03:38,360,6,,900,NIL,NIL,500,5,18,17,1018,94,NIL,NIL,1,,,,,
