validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,nevoa_seca,pancada,nevoeiro
"['01:00', '01/01']",01/01 01:00,70,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,400,5,21,21,1014,100,,,,,
"['02:00', '01/01']",01/01 02:00,100,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,200,5,20,20,1014,100,,,,,
"['03:00', '01/01']",01/01 03:00,60,5,NIL,6000,NIL,NIL,NIL,NIL,NIL,300,8,21,21,1013,100,,,,,
"['04:00', '01/01']",01/01 04:00,60,3,NIL,5000,NIL,NIL,NIL,NIL,1,300,8,21,21,1013,100,,,,,
"['05:00', '01/01']",01/01 05:00,50,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,400,8,21,21,1013,100,,,,,
"['06:00', '01/01']",01/01 06:00,80,3,NIL,9999,NIL,NIL,NIL,NIL,NIL,300,8,21,21,1012,100,,,,,
"['07:00', '01/01']",01/01 07:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,400,5,21,21,1011,100,,,,,
"['08:00', '01/01']",01/01 08:00,40,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,10000,5,20,20,1011,100,,,,,
"['09:00', '01/01']",01/01 09:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,2,20,20,1012,100,,,,,
"['10:00', '01/01']",01/01 10:00,50,3,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1012,100,,,,,
"['11:00', '01/01']",01/01 11:00,300,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,23,20,1013,83,,,,,
"['12:00', '01/01']",01/01 12:00,270,6,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,26,19,1013,65,,,,,
"['13:00', '01/01']",01/01 13:00,270,12,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,28,18,1013,55,,,,,
"['14:00', '01/01']",01/01 14:00,270,14,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,29,19,1012,55,,,,,
"['15:00', '01/01']",01/01 15:00,270,13,NIL,9999,NIL,NIL,NIL,NIL,NIL,4000,5,31,18,1011,46,,,,,
"['16:00', '01/01']",01/01 16:00,230,12,NIL,9999,NIL,NIL,NIL,NIL,NIL,4000,5,31,17,1010,43,,,,,
"['17:00', '01/01']",01/01 17:00,290,13,NIL,9999,NIL,NIL,NIL,NIL,NIL,4000,5,31,16,1009,40,,,,,
"['18:00', '01/01']",01/01 18:00,270,12,260,9999,NIL,NIL,NIL,NIL,NIL,4000,5,31,15,1009,38,,,,,
"['19:00', '01/01']",01/01 19:00,260,14,NIL,9999,NIL,NIL,NIL,NIL,NIL,4000,5,28,17,1009,51,,,,,
"['20:00', '01/01']",01/01 20:00,310,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,10000,5,27,18,1008,58,,,,,
"['21:00', '01/01']",01/01 21:00,270,8,NIL,9999,NIL,NIL,NIL,NIL,NIL,6000,5,26,17,1009,58,,,,,
"['21:45', '01/01']",01/01 21:45,110,9,NIL,9999,4500,135,1,1,NIL,800,8,22,21,1011,94,,,,,
"['22:00', '01/01']",01/01 22:00,130,12,NIL,3000,NIL,NIL,1,1,NIL,800,8,21,21,1011,100,,,,,
"['23:00', '01/01']",01/01 23:00,170,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,4000,8,21,21,1011,100,,,,,
"['23:10', '01/01']",01/01 23:10,200,3,NIL,2500,NIL,NIL,1,1,NIL,4000,8,22,22,1011,100,,,,,
"['00:00', '02/01']",02/01 00:00,120,6,NIL,9999,NIL,NIL,1,1,NIL,7000,5,21,21,1012,100,,,,,
"['01:00', '02/01']",02/01 01:00,40,3,40,5000,,,1,,,700,5,20,20,1013,100,,,,,
"['02:00', '02/01']",02/01 02:00,170,6,NIL,6000,,,1,,,800,5,21,21,1012,100,,,,,
"['03:00', '02/01']",02/01 03:00,320,6,NIL,9000,,,1,,,800,5,20,20,1011,100,,,,,
"['04:00', '02/01']",02/01 04:00,360,7,NIL,9999,,,NIL,,,800,5,21,21,1011,100,,,,,
"['05:00', '02/01']",02/01 05:00,20,4,190,9999,,,NIL,,,800,5,20,20,1010,100,,,,,
"['06:00', '02/01']",02/01 06:00,0,0,NIL,9999,,,1,,,800,5,20,20,1010,100,,,,,
"['07:00', '02/01']",02/01 07:00,140,2,NIL,9999,,,1,,,900,5,20,20,1011,100,,,,,
"['08:00', '02/01']",02/01 08:00,300,4,NIL,9999,,,NIL,,,900,5,20,20,1011,100,,,,,
"['09:00', '02/01']",02/01 09:00,280,4,280,9999,,,NIL,,,10000,5,20,20,1011,100,,,,,
"['10:00', '02/01']",02/01 10:00,270,4,270,9999,,,NIL,,,10000,5,21,20,1012,94,,,,,
"['11:00', '02/01']",02/01 11:00,VRB,2,NIL,9999,,,NIL,,,NIL,2,23,19,1012,78,,,,,
"['12:00', '02/01']",02/01 12:00,100,5,100,9999,,,NIL,,,9000,5,23,20,1013,83,,,,,
"['12:23', '02/01']",02/01 12:23,100,4,105,9999,,,NIL,,,1200,5,24,21,1013,83,,,,,
"['13:00', '02/01']",02/01 13:00,120,7,125,9999,,,NIL,,,1300,5,24,20,1013,78,,,,,
"['14:00', '02/01']",02/01 14:00,130,10,NIL,9999,,,NIL,,,1300,5,24,21,1013,83,,,,,
"['15:00', '02/01']",02/01 15:00,120,12,NIL,9999,,,NIL,,,600,5,23,20,1013,83,,,,,
"['15:40', '02/01']",02/01 15:40,100,8,100,9999,,,NIL,,,1100,5,23,21,1013,89,,,,,
"['16:00', '02/01']",02/01 16:00,110,7,105,8000,,,NIL,,,1000,5,22,20,1013,88,,,,,
"['17:00', '02/01']",02/01 17:00,90,8,NIL,9999,,,NIL,,,1100,5,24,21,1012,83,,,,,
"['18:00', '02/01']",02/01 18:00,100,10,NIL,9999,,,1,,,600,8,21,21,1012,100,,,,,
"['19:00', '02/01']",02/01 19:00,80,12,NIL,9999,,,NIL,,,800,8,23,20,1011,83,,,,,
"['20:00', '02/01']",02/01 20:00,120,11,NIL,9999,,,NIL,,,800,8,21,19,1012,88,,,,,
"['21:00', '02/01']",02/01 21:00,110,13,NIL,9999,,,NIL,,,600,8,19,19,1013,100,,,,,
"['22:00', '02/01']",02/01 22:00,110,16,NIL,9999,,,NIL,,,700,8,19,19,1013,100,,,,,
"['23:00', '02/01']",02/01 23:00,120,15,NIL,9999,,,NIL,,,800,8,18,18,1015,100,,,,,
"['00:00', '03/01']",03/01 00:00,120,15,NIL,9999,,,NIL,,,900,5,18,17,1016,94,,,,,
"['01:00', '03/01']",03/01 01:00,120,11,NIL,9999,NIL,NIL,NIL,,,1000,8,18,17,1016,94,,,,,
"['02:00', '03/01']",03/01 02:00,140,13,NIL,9999,NIL,NIL,NIL,,,1200,5,18,16,1016,88,,,,,
"['03:00', '03/01']",03/01 03:00,150,10,NIL,9999,NIL,NIL,NIL,,,1200,8,18,16,1016,88,,,,,
"['04:00', '03/01']",03/01 04:00,130,8,NIL,9999,NIL,NIL,NIL,,,1000,8,17,17,1015,100,,,,,
"['05:00', '03/01']",03/01 05:00,130,7,NIL,9999,NIL,NIL,NIL,,,600,8,17,17,1015,100,,,,,
"['06:00', '03/01']",03/01 06:00,130,10,NIL,9999,NIL,NIL,NIL,,,500,8,17,17,1015,100,,,,,
"['07:00', '03/01']",03/01 07:00,130,6,NIL,9999,NIL,NIL,NIL,,,900,8,17,17,1015,100,,,,,
"['08:00', '03/01']",03/01 08:00,130,6,NIL,9999,NIL,NIL,NIL,,,900,8,17,17,1015,100,,,,,
"['09:00', '03/01']",03/01 09:00,120,6,NIL,9999,NIL,NIL,NIL,,,700,8,17,17,1016,100,,,,,
"['10:00', '03/01']",03/01 10:00,120,9,NIL,9999,NIL,NIL,NIL,,,700,8,17,17,1017,100,,,,,
"['11:00', '03/01']",03/01 11:00,130,12,NIL,9999,NIL,NIL,NIL,,,1000,5,18,16,1017,88,,,,,
"['12:00', '03/01']",03/01 12:00,110,12,110,9999,NIL,NIL,NIL,,,1300,5,20,16,1018,78,,,,,
"['13:00', '03/01']",03/01 13:00,120,11,115,9999,NIL,NIL,NIL,,,1400,5,20,15,1018,73,,,,,
"['14:00', '03/01']",03/01 14:00,120,12,115,9999,NIL,NIL,NIL,,,1700,5,22,17,1018,73,,,,,
"['15:00', '03/01']",03/01 15:00,120,14,120,9999,NIL,NIL,NIL,,,1700,5,22,17,1018,73,,,,,
"['16:00', '03/01']",03/01 16:00,120,13,120,9999,4000,135,NIL,,,1700,5,21,17,1018,78,,,,,
"['16:10', '03/01']",03/01 16:10,140,16,NIL,3000,NIL,NIL,1,,,1400,8,20,19,1018,94,,,,,
"['17:00', '03/01']",03/01 17:00,130,14,130,9999,4000,135,NIL,,,1300,8,20,17,1017,83,,,,,
"['18:00', '03/01']",03/01 18:00,130,14,NIL,9999,NIL,NIL,NIL,,,1300,5,21,16,1017,73,,,,,
"['19:00', '03/01']",03/01 19:00,130,14,NIL,9999,NIL,NIL,NIL,,,1400,5,20,15,1016,73,,,,,
"['20:00', '03/01']",03/01 20:00,130,14,NIL,9999,NIL,NIL,NIL,,,1400,5,20,15,1016,73,,,,,
"['21:00', '03/01']",03/01 21:00,130,12,NIL,9999,NIL,NIL,NIL,,,1300,5,19,15,1016,78,,,,,
"['22:00', '03/01']",03/01 22:00,130,11,NIL,9999,NIL,NIL,NIL,,,1200,5,18,16,1016,88,,,,,
"['23:00', '03/01']",03/01 23:00,100,6,NIL,9999,NIL,NIL,NIL,,,1100,5,18,17,1017,94,,,,,
"['00:00', '04/01']",04/01 00:00,130,10,NIL,9999,NIL,NIL,NIL,,,900,5,18,17,1017,94,,,,,
"['01:00', '04/01']",04/01 01:00,120,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,5,17,17,1017,100,NIL,,,,
"['02:00', '04/01']",04/01 02:00,110,7,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,5,17,17,1017,100,NIL,,,,
"['03:00', '04/01']",04/01 03:00,100,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,5,17,17,1016,100,NIL,,,,
"['03:20', '04/01']",04/01 03:20,100,2,NIL,3000,NIL,NIL,NIL,NIL,NIL,700,8,17,17,1016,100,1,,,,
"['03:35', '04/01']",04/01 03:35,90,2,NIL,1500,NIL,NIL,1,NIL,NIL,600,8,17,17,1016,100,NIL,,,,
"['04:00', '04/01']",04/01 04:00,90,3,NIL,3000,NIL,NIL,1,NIL,NIL,600,8,17,17,1015,100,NIL,,,,
"['04:25', '04/01']",04/01 04:25,130,5,NIL,5000,NIL,NIL,NIL,NIL,1,600,8,17,17,1015,100,NIL,,,,
"['05:00', '04/01']",04/01 05:00,140,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,600,8,17,17,1014,100,NIL,,,,
"['06:00', '04/01']",04/01 06:00,120,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,600,8,17,17,1014,100,NIL,,,,
"['07:00', '04/01']",04/01 07:00,130,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,700,8,17,17,1014,100,NIL,,,,
"['08:00', '04/01']",04/01 08:00,140,4,NIL,5000,NIL,NIL,NIL,NIL,1,300,8,17,17,1014,100,NIL,,,,
"['08:10', '04/01']",04/01 08:10,150,4,NIL,3000,NIL,NIL,1,NIL,NIL,300,8,17,17,1014,100,NIL,,,,
"['08:30', '04/01']",04/01 08:30,150,5,NIL,5000,NIL,NIL,NIL,NIL,1,300,8,17,17,1015,100,NIL,,,,
"['09:00', '04/01']",04/01 09:00,160,5,NIL,7000,NIL,NIL,NIL,NIL,NIL,400,8,18,18,1015,100,NIL,,,,
"['09:15', '04/01']",04/01 09:15,140,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,700,8,18,18,1015,100,NIL,,,,
"['10:00', '04/01']",04/01 10:00,170,6,NIL,9999,NIL,NIL,NIL,NIL,NIL,600,8,18,18,1015,100,NIL,,,,
"['11:00', '04/01']",04/01 11:00,VRB,3,NIL,6000,NIL,NIL,NIL,NIL,NIL,400,8,18,18,1015,100,1,,,,
"['12:00', '04/01']",04/01 12:00,150,7,135,6000,NIL,NIL,NIL,NIL,NIL,400,8,19,19,1016,100,1,,,,
"['13:00', '04/01']",04/01 13:00,100,7,165,9999,NIL,NIL,NIL,NIL,NIL,800,5,21,18,1016,83,NIL,,,,
"['14:00', '04/01']",04/01 14:00,160,10,NIL,9999,NIL,NIL,NIL,NIL,NIL,800,5,21,19,1015,88,NIL,,,,
"['15:00', '04/01']",04/01 15:00,120,11,NIL,9000,NIL,NIL,NIL,NIL,NIL,900,5,21,18,1015,83,NIL,,,,
"['16:00', '04/01']",04/01 16:00,120,13,NIL,9000,NIL,NIL,NIL,NIL,NIL,800,8,19,19,1015,100,1,,,,
"['17:00', '04/01']",04/01 17:00,110,10,NIL,9000,NIL,NIL,1,NIL,NIL,700,8,19,19,1015,100,NIL,,,,
"['18:00', '04/01']",04/01 18:00,100,6,90,9999,NIL,NIL,NIL,1,NIL,800,8,19,18,1014,94,NIL,,,,
"['19:00', '04/01']",04/01 19:00,90,8,100,9000,3000,135,1,NIL,NIL,800,8,18,18,1014,100,NIL,,,,
"['20:00', '04/01']",04/01 20:00,130,12,NIL,9000,NIL,NIL,NIL,NIL,NIL,900,5,17,17,1014,100,NIL,,,,
"['21:00', '04/01']",04/01 21:00,110,6,110,9999,NIL,NIL,NIL,NIL,NIL,600,5,17,17,1014,100,NIL,,,,
"['22:00', '04/01']",04/01 22:00,100,6,NIL,9999,NIL,NIL,NIL,NIL,NIL,600,5,17,17,1014,100,NIL,,,,
"['23:00', '04/01']",04/01 23:00,110,10,NIL,9000,NIL,NIL,NIL,NIL,NIL,500,8,17,17,1014,100,NIL,,,,
"['00:00', '05/01']",05/01 00:00,120,4,130,9999,NIL,NIL,NIL,NIL,NIL,800,5,17,17,1015,100,NIL,,,,
"['01:00', '05/01']",05/01 01:00,90,7,NIL,9999,,,,,,1400,5,16,16,1015,100,,,,,
"['01:10', '05/01']",05/01 01:10,100,6,NIL,9999,,,,,,NIL,3,16,16,1015,100,,,,,
"['02:00', '05/01']",05/01 02:00,150,2,NIL,9999,,,,,,NIL,2,16,16,1015,100,,,,,
"['03:00', '05/01']",05/01 03:00,VRB,1,NIL,9999,,,,,,NIL,2,15,15,1014,100,,,,,
"['04:00', '05/01']",05/01 04:00,0,0,NIL,9999,,,,,,NIL,2,15,15,1013,100,,,,,
"['05:00', '05/01']",05/01 05:00,130,6,NIL,9999,,,,,,NIL,3,14,14,1012,100,,,,,
"['06:00', '05/01']",05/01 06:00,110,4,NIL,9999,,,,,,1500,5,14,14,1012,100,,,,,
"['07:00', '05/01']",05/01 07:00,VRB,1,NIL,9999,,,,,,1300,8,15,15,1011,100,,,,,
"['08:00', '05/01']",05/01 08:00,290,2,NIL,9999,,,,,,1200,8,15,15,1012,100,,,,,
"['09:00', '05/01']",05/01 09:00,VRB,2,NIL,9999,,,,,,1300,5,16,16,1012,100,,,,,
"['09:47', '05/01']",05/01 09:47,170,3,165,9999,,,,,,NIL,2,17,16,1013,94,,,,,
"['10:00', '05/01']",05/01 10:00,170,4,NIL,9999,,,,,,NIL,2,17,16,1013,94,,,,,
"['10:40', '05/01']",05/01 10:40,120,4,NIL,9999,,,,,,1200,5,19,15,1013,78,,,,,
"['11:00', '05/01']",05/01 11:00,140,5,NIL,9999,,,,,,1100,5,18,14,1013,77,,,,,
"['12:00', '05/01']",05/01 12:00,120,4,NIL,9999,,,,,,1200,5,20,12,1014,60,,,,,
"['12:35', '05/01']",05/01 12:35,50,5,NIL,9999,,,,,,1500,5,21,12,1014,56,,,,,
"['13:00', '05/01']",05/01 13:00,50,5,NIL,9999,,,,,,2000,5,21,11,1014,53,,,,,
"['14:00', '05/01']",05/01 14:00,90,4,NIL,9999,,,,,,2600,5,23,11,1013,47,,,,,
"['15:00', '05/01']",05/01 15:00,70,3,NIL,9999,,,,,,3000,5,23,10,1013,44,,,,,
"['16:00', '05/01']",05/01 16:00,90,4,NIL,9999,,,,,,3000,5,24,11,1012,44,,,,,
"['17:00', '05/01']",05/01 17:00,100,7,NIL,9999,,,,,,3000,5,24,13,1011,50,,,,,
"['18:00', '05/01']",05/01 18:00,80,7,85,9999,,,,,,2000,5,24,17,1011,65,,,,,
"['19:00', '05/01']",05/01 19:00,90,7,NIL,9999,,,,,,10000,5,24,18,1010,69,,,,,
"['20:00', '05/01']",05/01 20:00,70,9,NIL,9999,,,,,,2000,5,23,17,1010,69,,,,,
"['21:00', '05/01']",05/01 21:00,60,8,NIL,9999,,,,,,NIL,3,21,17,1010,78,,,,,
"['22:00', '05/01']",05/01 22:00,80,7,80,9999,,,,,,NIL,3,20,17,1011,83,,,,,
"['23:00', '05/01']",05/01 23:00,90,6,NIL,9999,,,,,,NIL,3,19,18,1012,94,,,,,
"['00:00', '06/01']",06/01 00:00,90,3,80,9999,,,,,,700,5,19,19,1013,100,,,,,
"['01:00', '06/01']",06/01 01:00,20,4,NIL,9999,,,,,,600,5,18,18,1012,100,,,,,
"['02:00', '06/01']",06/01 02:00,120,3,110,9999,,,,,,600,5,18,18,1013,100,,,,,
"['03:00', '06/01']",06/01 03:00,50,4,50,9999,,,,,,800,5,18,18,1012,100,,,,,
"['04:00', '06/01']",06/01 04:00,VRB,1,NIL,9999,,,,,,500,5,18,18,1011,100,,,,,
"['05:00', '06/01']",06/01 05:00,VRB,2,NIL,9999,,,,,,900,5,17,17,1011,100,,,,,
"['06:00', '06/01']",06/01 06:00,0,0,NIL,9999,,,,,,700,5,18,18,1011,100,,,,,
