validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['01:00', '01/01']",01/01 01:00,0,0,NIL,9999,NIL,NIL,NIL,NIL,NIL,2500,5,21,19,1016,88,,,,,
"['02:00', '01/01']",01/01 02:00,320,3,NIL,9999,NIL,NIL,NIL,NIL,NIL,2500,5,20,18,1016,88,,,,,
"['03:00', '01/01']",01/01 03:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,20,19,1016,94,,,,,
"['04:00', '01/01']",01/01 04:00,320,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,5000,5,20,19,1016,94,,,,,
"['05:00', '01/01']",01/01 05:00,210,7,NIL,9000,NIL,NIL,NIL,NIL,NIL,7000,5,20,19,1017,94,,,,,
"['06:00', '01/01']",01/01 06:00,100,7,NIL,9999,NIL,NIL,NIL,NIL,NIL,3000,5,18,16,1016,88,,,,,
"['07:00', '01/01']",01/01 07:00,VRB,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,7000,5,17,17,1015,100,,,,,
"['08:00', '01/01']",01/01 08:00,150,6,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,17,1016,94,,,,,
"['08:35', '01/01']",01/01 08:35,120,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,600,5,17,17,1016,100,,,,,
"['09:00', '01/01']",01/01 09:00,130,5,NIL,5000,NIL,NIL,NIL,NIL,1,500,8,18,18,1017,100,,,,,
"['10:00', '01/01']",01/01 10:00,110,5,120,6000,NIL,NIL,NIL,NIL,NIL,300,8,18,18,1017,100,,,,,
"['11:00', '01/01']",01/01 11:00,100,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,800,8,19,19,1018,100,,,,,
"['12:00', '01/01']",01/01 12:00,110,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,8,20,19,1018,94,,,,,
"['13:00', '01/01']",01/01 13:00,130,10,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,8,20,18,1019,88,,,,,
"['14:00', '01/01']",01/01 14:00,120,8,NIL,9999,4500,315,1,1,NIL,800,8,20,19,1019,94,,,,,
"['15:00', '01/01']",01/01 15:00,120,8,NIL,9999,NIL,NIL,1,NIL,NIL,700,8,21,21,1019,100,,,,,
"['16:00', '01/01']",01/01 16:00,110,7,NIL,9999,NIL,NIL,NIL,NIL,NIL,1200,8,22,18,1019,78,,,,,
"['17:00', '01/01']",01/01 17:00,100,11,NIL,9999,NIL,NIL,NIL,NIL,NIL,1100,8,21,19,1019,88,,,,,
"['18:00', '01/01']",01/01 18:00,120,13,120,9999,NIL,NIL,NIL,NIL,NIL,900,5,22,18,1018,78,,,,,
"['19:00', '01/01']",01/01 19:00,130,12,NIL,9999,NIL,NIL,NIL,NIL,NIL,900,8,20,18,1018,88,,,,,
"['20:00', '01/01']",01/01 20:00,100,9,100,9999,NIL,NIL,NIL,NIL,NIL,900,8,20,18,1017,88,,,,,
"['21:00', '01/01']",01/01 21:00,110,9,NIL,9999,NIL,NIL,1,NIL,NIL,900,8,19,18,1017,94,,,,,
"['22:00', '01/01']",01/01 22:00,110,6,NIL,9000,NIL,NIL,1,NIL,NIL,500,8,18,18,1018,100,,,,,
"['23:00', '01/01']",01/01 23:00,110,7,105,9999,NIL,NIL,1,NIL,NIL,600,8,18,18,1018,100,,,,,
"['00:00', '02/01']",02/01 00:00,110,6,110,9000,NIL,NIL,1,NIL,NIL,600,8,18,17,1019,94,,,,,
"['01:00', '02/01']",02/01 01:00,120,11,NIL,9000,,,1,,NIL,600,8,17,17,1019,100,,,,,
"['02:00', '02/01']",02/01 02:00,120,11,NIL,9999,,,1,,NIL,600,8,17,17,1019,100,,,,,
"['03:00', '02/01']",02/01 03:00,110,8,NIL,8000,,,1,,NIL,700,8,17,16,1019,94,,,,,
"['04:00', '02/01']",02/01 04:00,120,7,NIL,9000,,,1,,NIL,700,8,17,16,1019,94,,,,,
"['05:00', '02/01']",02/01 05:00,120,8,NIL,9999,,,1,,NIL,700,8,16,16,1018,100,,,,,
"['06:00', '02/01']",02/01 06:00,130,8,NIL,9999,,,NIL,,NIL,700,8,16,16,1018,100,,,,,
"['07:00', '02/01']",02/01 07:00,120,3,NIL,9999,,,NIL,,NIL,400,8,16,16,1018,100,,,,,
"['08:00', '02/01']",02/01 08:00,140,2,NIL,5000,,,1,,NIL,400,8,16,16,1018,100,,,,,
"['09:00', '02/01']",02/01 09:00,120,4,NIL,8000,,,1,,NIL,300,8,16,16,1018,100,,,,,
"['10:00', '02/01']",02/01 10:00,100,4,NIL,8000,,,1,,NIL,300,8,17,17,1018,100,,,,,
"['11:00', '02/01']",02/01 11:00,130,4,NIL,4000,,,NIL,,1,400,8,17,17,1019,100,,,,,
"['12:00', '02/01']",02/01 12:00,130,3,NIL,4000,,,1,,NIL,400,8,17,17,1019,100,,,,,
"['13:00', '02/01']",02/01 13:00,150,5,155,6000,,,NIL,,NIL,500,8,18,17,1019,94,,,,,
"['14:00', '02/01']",02/01 14:00,120,3,265,9999,,,NIL,,NIL,900,8,20,17,1019,83,,,,,
"['15:00', '02/01']",02/01 15:00,90,5,95,9999,,,NIL,,NIL,2300,5,21,18,1019,83,,,,,
"['16:00', '02/01']",02/01 16:00,70,8,NIL,9999,,,NIL,,NIL,2000,5,21,18,1018,83,,,,,
"['17:00', '02/01']",02/01 17:00,90,8,NIL,9999,,,NIL,,NIL,2000,5,21,18,1017,83,,,,,
"['17:40', '02/01']",02/01 17:40,110,10,NIL,9999,,,NIL,,NIL,900,5,20,18,1016,88,,,,,
"['18:00', '02/01']",02/01 18:00,90,8,100,9999,,,NIL,,NIL,900,5,20,18,1016,88,,,,,
"['19:00', '02/01']",02/01 19:00,110,8,115,9999,,,NIL,,NIL,900,5,19,18,1016,94,,,,,
"['20:00', '02/01']",02/01 20:00,120,7,110,9999,,,NIL,,NIL,900,8,19,17,1016,88,,,,,
"['21:00', '02/01']",02/01 21:00,100,7,NIL,9999,,,NIL,,NIL,900,8,19,17,1016,88,,,,,
"['22:00', '02/01']",02/01 22:00,120,10,NIL,9000,,,1,,NIL,500,8,17,17,1016,100,,,,,
"['23:00', '02/01']",02/01 23:00,110,8,NIL,9999,,,NIL,,NIL,700,8,17,17,1016,100,,,,,
