validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,trovoada,teto,cobertura,tt,po,qnh,ur,chuva,vnt_rajada,chuvisco,nevoeiro,nevoa_umida,pancada,vis_setor,vis_setor_dir,fumaca,vnt_vrb
"['01:00', '01/01']",01/01 01:00,150,3,9999,NIL,NIL,2,27,23,1011,79,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,300,5,9999,NIL,NIL,NIL,27,22,1011,74,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,310,5,9999,NIL,NIL,2,26,23,1011,84,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,320,4,9999,NIL,NIL,NIL,26,23,1011,84,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,310,5,9999,NIL,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,320,4,9999,NIL,NIL,NIL,26,23,1010,84,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,310,5,9999,NIL,NIL,NIL,26,22,1009,79,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,330,5,9999,NIL,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,320,4,9999,NIL,NIL,NIL,25,22,1009,83,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,330,4,9999,NIL,NIL,2,25,22,1010,83,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,310,4,9999,NIL,NIL,2,27,22,1011,74,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,320,4,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,300,5,9999,NIL,NIL,3,31,22,1012,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,280,4,9999,NIL,NIL,3,31,22,1011,59,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,320,5,9999,NIL,NIL,3,32,21,1010,52,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,340,3,9999,NIL,2000,5,33,21,1009,49,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,0,0,9999,NIL,2000,5,33,20,1008,46,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,340,12,9999,NIL,2000,5,31,21,1007,55,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,14,9999,1,7000,5,28,21,1008,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,190,5,9999,1,10000,5,25,21,1007,79,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,240,5,9999,NIL,10000,5,26,21,1006,74,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,240,4,9999,NIL,10000,5,26,21,1007,74,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,130,3,9999,NIL,10000,5,26,22,1008,79,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,80,2,9999,NIL,NIL,3,25,22,1009,83,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,0,0,9999,,NIL,3,26,22,1010,79,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,330,2,9999,,NIL,3,25,22,1010,83,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,310,5,9999,,NIL,3,26,23,1010,84,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,300,5,9999,,NIL,NIL,26,22,1010,79,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,300,6,9999,,NIL,NIL,26,22,1010,79,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,290,5,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,3,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,300,3,9999,,NIL,NIL,24,22,1010,89,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,0,0,9999,,NIL,NIL,24,22,1010,89,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,330,6,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,9999,,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,310,10,9999,,NIL,2,28,22,1012,70,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,310,13,9999,,2500,5,30,22,1012,62,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,310,13,9999,,2500,5,30,22,1012,62,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,310,13,9999,,2500,5,31,22,1012,59,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,280,11,9999,,2500,5,32,22,1011,56,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,310,11,9999,,3000,5,32,21,1009,52,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,300,10,9999,,NIL,3,33,21,1008,49,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,280,8,9999,,NIL,3,34,20,1007,44,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,320,5,9999,,NIL,3,33,20,1007,46,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,4,9999,,NIL,3,31,21,1008,55,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,70,3,9999,,NIL,3,30,22,1008,62,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,80,2,9999,,NIL,3,28,23,1009,74,,,,,,,,,,
