validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['01:00', '01/01']",01/01 01:00,50,3,9999,NIL,2,27,21,1013,70,,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,20,2,9999,NIL,3,27,21,1014,70,,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,270,2,9999,10000,5,27,22,1014,74,,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,330,4,9999,10000,5,26,21,1013,74,,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,320,3,9999,NIL,NIL,26,23,1013,84,,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,0,0,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,0,0,9999,NIL,2,25,22,1012,83,,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,0,0,9999,10000,5,25,23,1012,89,,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,280,3,9999,10000,5,26,22,1013,79,,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,250,2,9999,10000,5,26,22,1014,79,,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,160,3,9999,NIL,2,26,22,1014,79,,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,150,5,9999,NIL,3,29,22,1015,66,,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,130,6,9999,NIL,3,30,22,1015,62,,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,160,5,9999,NIL,2,33,21,1015,49,,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,80,7,9999,NIL,3,33,20,1015,46,,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,120,7,9999,NIL,3,34,19,1014,41,,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,130,6,9999,2000,5,34,19,1013,41,,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,200,6,9999,2000,5,36,18,1011,35,,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,170,6,9999,2000,5,36,18,1010,35,,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,120,6,9999,2000,5,36,18,1009,35,,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,150,5,9999,NIL,3,35,18,1009,37,,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,170,8,9999,NIL,3,33,20,1009,46,,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,150,5,9999,NIL,2,32,20,1010,49,,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,360,3,9999,NIL,2,30,21,1012,59,,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,280,2,9999,NIL,2,29,20,1012,58,,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,150,3,9999,NIL,NIL,29,21,1013,62,,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,240,4,9999,NIL,NIL,30,21,1013,59,,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,280,7,9999,NIL,NIL,28,21,1012,66,,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,300,9,9999,NIL,NIL,26,21,1012,74,,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,260,8,9999,NIL,NIL,26,21,1012,74,,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,80,2,9999,NIL,NIL,25,21,1011,79,,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,250,3,9999,NIL,NIL,26,21,1011,74,,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,20,2,9999,NIL,NIL,26,21,1012,74,,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,330,1,9999,NIL,NIL,26,22,1013,79,,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,9999,NIL,NIL,27,22,1013,74,,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,310,2,9999,NIL,NIL,29,22,1013,66,,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,330,1,9999,NIL,NIL,31,22,1013,59,,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,120,3,9999,NIL,2,33,21,1013,49,,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,240,4,9999,NIL,2,35,20,1012,42,,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,180,6,9999,2000,5,35,20,1010,42,,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,240,4,9999,2000,5,34,19,1009,41,,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,190,9,9999,2000,5,34,20,1008,44,,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,180,7,9999,NIL,3,34,20,1007,44,,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,200,9,9999,NIL,2,33,21,1007,49,,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,210,5,9999,NIL,2,31,20,1008,52,,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,180,2,9999,NIL,NIL,29,20,1008,58,,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,250,5,9999,NIL,NIL,30,20,1008,55,,,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,30,2,9999,NIL,NIL,27,21,1009,70,,,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,310,3,9999,NIL,NIL,28,21,1009,66,,,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,310,7,9999,NIL,NIL,28,21,1009,66,,,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,310,5,9999,NIL,NIL,27,22,1009,74,,,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,300,4,9999,NIL,NIL,27,22,1009,74,,,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,320,5,9999,NIL,NIL,26,22,1008,79,,,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,300,4,9999,NIL,NIL,26,22,1008,79,,,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,NIL,NIL,9999,NIL,NIL,26,22,1008,79,,,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,320,4,9999,NIL,NIL,26,22,1008,79,,,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,310,4,9999,NIL,NIL,27,23,1009,79,,,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,340,3,9999,NIL,NIL,29,22,1009,66,,,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,300,6,9999,NIL,NIL,30,22,1010,62,,,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,340,7,9999,NIL,NIL,32,22,1010,56,,,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,310,6,9999,NIL,NIL,34,21,1010,47,,,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,300,6,9999,NIL,3,35,21,1009,44,,,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,340,17,9999,2000,5,32,21,1008,52,,,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,310,11,9999,2000,5,33,19,1008,44,,,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,280,15,9999,8000,5,30,21,1008,59,,,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,300,9,9999,10000,5,33,22,1007,53,,,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,350,10,9999,10000,5,33,20,1006,46,,,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,330,12,9999,NIL,3,32,21,1006,52,,,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,330,9,9999,NIL,NIL,31,21,1007,55,,,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,330,6,9999,NIL,3,31,22,1007,59,,,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,320,6,9999,NIL,2,30,22,1008,62,,,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,300,7,9999,NIL,2,29,22,1008,66,NIL,NIL,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,310,6,9999,10000,5,28,22,1009,70,NIL,NIL,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,310,7,9999,10000,5,28,22,1009,70,NIL,NIL,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,300,6,9999,10000,5,27,22,1009,74,NIL,NIL,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,310,9,9999,10000,5,27,22,1008,74,NIL,NIL,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,320,9,9999,10000,5,27,21,1008,70,NIL,NIL,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,320,11,9999,NIL,NIL,27,21,1008,70,NIL,NIL,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,320,12,9999,NIL,NIL,26,21,1008,74,NIL,NIL,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,330,10,9999,NIL,NIL,26,21,1008,74,NIL,NIL,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,330,12,9999,NIL,NIL,26,20,1009,70,NIL,NIL,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,340,10,9999,NIL,NIL,26,20,1010,70,NIL,NIL,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,330,12,9999,NIL,3,27,20,1011,66,NIL,NIL,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,310,13,9999,2000,5,28,20,1012,62,NIL,NIL,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,310,13,9999,2000,5,29,20,1012,58,NIL,NIL,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,330,11,9999,2000,5,29,20,1012,58,NIL,NIL,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,330,11,9999,2000,5,29,21,1011,62,NIL,NIL,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,320,8,9999,NIL,3,31,20,1010,52,NIL,NIL,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,300,10,9999,NIL,3,33,19,1008,44,NIL,NIL,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,320,11,9999,NIL,3,32,18,1008,43,NIL,NIL,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,310,10,9999,NIL,3,33,18,1008,41,NIL,NIL,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,350,7,9999,10000,5,30,19,1008,52,NIL,NIL,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,320,11,9999,10000,5,28,20,1010,62,NIL,NIL,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,320,4,9999,10000,5,26,22,1009,79,1,1,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,360,3,9999,8000,5,26,23,1010,84,NIL,1,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,340,2,9999,8000,5,26,23,1011,84,,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,200,3,9999,NIL,2,26,22,1012,79,,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,160,5,9999,NIL,2,25,22,1012,83,,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,120,3,9999,NIL,2,24,22,1012,89,,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,80,1,9999,NIL,2,24,22,1011,89,,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,80,3,9999,NIL,2,24,22,1011,89,,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,90,2,9999,NIL,NIL,24,22,1010,89,,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,70,2,9999,NIL,NIL,24,22,1010,89,,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,20,2,9999,NIL,NIL,24,22,1010,89,,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,0,0,9999,NIL,NIL,25,21,1011,79,,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,350,2,9999,NIL,NIL,27,22,1012,74,,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,340,7,9999,NIL,NIL,29,22,1012,66,,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,340,10,9999,NIL,2,30,21,1012,59,,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,350,7,9999,NIL,3,32,22,1012,56,,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,320,9,9999,NIL,3,33,21,1012,49,,,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,330,7,9999,NIL,3,34,20,1011,44,,,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,360,7,9999,2000,5,34,20,1010,44,,,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,300,8,9999,2000,5,35,19,1008,39,,,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,350,6,9999,NIL,3,35,19,1007,39,,,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,300,15,6000,NIL,3,33,20,1007,46,,,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,300,7,9999,NIL,3,31,20,1007,52,,,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,340,4,9999,NIL,3,31,21,1008,55,,,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,110,2,9999,10000,5,29,22,1009,66,,,,,,,,,,,
