validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,pancada,vnt_rajada,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco
"['01:00', '01/01']",01/01 01:00,10,2,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,310,2,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,320,2,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,320,3,9999,NIL,NIL,24,24,1011,100,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,320,3,9999,NIL,NIL,23,23,1011,100,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,330,3,9999,NIL,NIL,23,23,1010,100,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,320,2,9999,NIL,NIL,23,23,1009,100,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,9999,NIL,NIL,23,23,1009,100,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,310,3,9999,NIL,NIL,22,22,1009,100,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,330,4,9999,NIL,NIL,23,23,1010,100,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,3,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,350,5,9999,NIL,NIL,25,23,1011,89,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,6,9999,NIL,NIL,27,23,1012,79,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,350,9,9999,NIL,2,28,24,1012,79,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,360,8,9999,NIL,3,29,23,1011,70,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,10,8,9999,NIL,3,30,22,1011,62,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,10,10,9999,NIL,3,31,21,1010,55,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,340,7,9999,NIL,3,30,21,1009,59,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,340,6,9999,7000,5,30,22,1009,62,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,350,5,9999,8000,5,30,22,1008,62,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,330,4,9999,10000,5,29,23,1008,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,340,3,9999,10000,5,28,23,1009,74,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,20,4,9999,NIL,NIL,27,23,1010,79,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,360,4,9999,NIL,3,27,24,1011,84,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,360,4,9999,NIL,NIL,27,23,1011,79,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,360,3,9999,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,20,4,9999,NIL,NIL,26,22,1011,79,,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,360,5,9999,NIL,NIL,25,22,1011,83,,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,360,3,9999,NIL,NIL,25,22,1010,83,,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,360,3,9999,NIL,NIL,23,22,1009,94,,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,40,2,9999,NIL,NIL,24,22,1009,89,,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,70,3,9999,NIL,NIL,23,22,1009,94,,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,0,0,9999,NIL,NIL,23,22,1010,94,,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,0,0,9999,NIL,NIL,22,22,1010,100,,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,60,3,9999,NIL,NIL,24,23,1011,94,,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,50,3,9999,NIL,NIL,25,23,1012,89,,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,10,5,9999,NIL,NIL,28,22,1013,70,,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,20,7,9999,10000,5,30,21,1013,59,,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,360,6,9999,10000,5,30,22,1012,62,,,,,,,,,,
"['16:00', '02/01']",02/01 16:00,20,6,9999,NIL,3,31,20,1012,52,,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,330,7,9999,NIL,3,32,20,1011,49,,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,30,7,9999,NIL,3,32,21,1010,52,,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,300,8,9999,NIL,3,31,25,1009,71,,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,360,3,9999,NIL,3,31,25,1008,71,,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,340,3,9999,NIL,2,30,26,1009,79,,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,360,3,9999,NIL,2,30,26,1009,79,,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,0,0,9999,NIL,NIL,27,24,1010,84,,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,0,0,9999,NIL,NIL,26,24,1010,89,,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,0,0,9999,NIL,NIL,26,24,1012,89,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,0,0,9999,NIL,NIL,25,24,1012,94,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,0,0,9999,NIL,NIL,25,23,1012,89,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,0,0,9999,NIL,NIL,24,23,1012,94,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,0,0,9999,NIL,NIL,24,23,1012,94,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,300,3,9999,NIL,NIL,23,23,1011,100,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,320,3,9999,NIL,NIL,24,23,1011,94,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,310,3,9999,NIL,NIL,24,23,1011,94,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,340,3,9999,NIL,NIL,24,22,1011,89,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,300,3,9999,NIL,NIL,23,22,1012,94,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,320,3,9999,NIL,NIL,24,22,1013,89,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,310,5,9999,NIL,NIL,26,22,1014,79,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,310,7,9999,NIL,NIL,29,22,1014,66,NIL,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,290,7,9999,NIL,NIL,30,21,1014,59,285,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,290,6,9999,NIL,NIL,31,20,1014,52,285,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,280,6,9999,10000,5,32,20,1013,49,280,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,290,5,9999,10000,5,32,21,1012,52,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,290,3,9999,10000,5,32,21,1011,52,NIL,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,290,3,9999,NIL,3,33,21,1010,49,NIL,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,250,4,9999,NIL,3,33,21,1010,49,NIL,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,290,4,9999,NIL,3,33,22,1010,53,NIL,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,80,5,9999,NIL,3,31,22,1011,59,NIL,,,,,,,,,
"['23:00', '03/01']",03/01 23:00,60,4,9999,NIL,3,30,22,1012,62,NIL,,,,,,,,,
"['00:00', '04/01']",04/01 00:00,0,0,9999,NIL,3,28,24,1013,79,NIL,,,,,,,,,
"['01:00', '04/01']",04/01 01:00,0,0,9999,NIL,NIL,28,24,1014,79,NIL,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,0,0,9999,NIL,2,26,24,1014,89,NIL,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,0,0,9999,NIL,NIL,27,22,1014,74,NIL,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,80,8,9999,NIL,3,27,24,1014,84,NIL,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,90,6,9999,NIL,2,26,24,1013,89,NIL,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,70,6,9999,NIL,2,26,24,1013,89,NIL,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,30,5,9999,NIL,2,25,24,1012,94,NIL,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,10,3,9999,NIL,2,25,24,1012,94,NIL,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,80,4,9999,NIL,3,25,24,1012,94,NIL,,,,,,,,,
"['09:38', '04/01']",04/01 09:38,80,4,9999,800,5,25,24,1012,94,NIL,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,90,3,9999,800,5,25,24,1013,94,NIL,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,110,3,9999,NIL,3,25,24,1013,94,NIL,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,10,2,9999,NIL,3,27,24,1014,84,NIL,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,70,3,9999,NIL,3,29,24,1015,74,NIL,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,330,4,9999,NIL,3,30,24,1015,70,NIL,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,340,6,9999,NIL,3,30,23,1014,66,NIL,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,300,7,9999,NIL,3,31,24,1013,66,NIL,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,340,8,9999,NIL,3,32,23,1012,59,NIL,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,330,6,9999,NIL,3,33,21,1011,49,NIL,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,300,7,9999,NIL,3,33,22,1009,53,280,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,280,5,9999,NIL,3,34,29,1009,75,NIL,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,280,3,9999,NIL,3,33,24,1009,59,NIL,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,240,5,9999,NIL,3,30,24,1009,70,NIL,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,350,3,9999,NIL,3,29,23,1010,70,NIL,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,0,0,9999,NIL,NIL,28,24,1010,79,NIL,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,0,0,9999,NIL,NIL,27,24,1011,84,,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,300,2,9999,NIL,NIL,26,24,1011,89,,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,320,2,9999,NIL,NIL,25,24,1012,94,,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,0,0,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,0,0,9999,NIL,NIL,25,24,1011,94,,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,300,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,290,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,310,2,9999,NIL,NIL,24,24,1010,100,,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,350,4,9999,NIL,NIL,24,23,1010,94,,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,340,4,9999,8000,5,24,23,1011,94,,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,350,4,9999,NIL,3,25,23,1012,89,,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,320,4,9999,NIL,2,27,23,1012,79,,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,330,6,9999,NIL,NIL,30,23,1013,66,,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,340,9,9999,NIL,NIL,31,21,1013,55,,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,340,8,9999,NIL,NIL,32,21,1012,52,,,,,,,,,,
