validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['01:00', '01/01']",01/01 01:00,0,0,NIL,9999,NIL,NIL,27,24,1010,84,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,310,1,NIL,9999,NIL,NIL,25,24,1010,94,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,310,3,NIL,9999,NIL,NIL,25,24,1011,94,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,300,3,NIL,9999,NIL,NIL,24,23,1011,94,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,1,NIL,9999,NIL,NIL,24,23,1010,94,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,0,0,NIL,9999,NIL,NIL,24,23,1010,94,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,30,2,NIL,9999,NIL,NIL,24,23,1011,94,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,70,3,NIL,9999,NIL,2,25,24,1011,94,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,60,2,NIL,9999,NIL,NIL,25,23,1012,89,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,70,2,NIL,9999,NIL,3,25,24,1013,94,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,50,2,NIL,9999,10000,5,25,24,1013,94,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,90,3,NIL,9999,10000,5,26,24,1014,89,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,60,6,NIL,9999,NIL,2,27,24,1014,84,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,60,7,NIL,9999,NIL,3,29,24,1014,74,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,60,8,60,9999,2000,5,30,24,1014,70,,,,,,,,,
