validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['01:00', '01/01']",01/01 01:00,190,8,9999,3000,5,23,20,1013,83,,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,190,8,9999,3000,5,22,20,1013,88,,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,190,9,9999,NIL,3,22,19,1013,83,,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,190,7,9999,NIL,3,22,19,1013,83,,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,210,8,9999,3000,5,22,19,1012,83,,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,180,10,9999,3000,5,22,18,1012,78,,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,190,10,9999,3000,5,22,19,1013,83,,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,200,12,9999,3000,5,21,19,1014,88,,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,200,9,9999,3000,5,22,18,1014,78,,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,200,9,9999,4000,5,22,18,1015,78,,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,180,8,9999,4000,5,23,18,1015,73,,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,180,9,9999,4500,5,23,18,1016,73,,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,190,10,9999,4000,5,23,17,1016,69,,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,200,7,9999,4500,5,23,18,1016,73,,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,180,7,9999,4500,5,25,17,1016,61,,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,160,10,9999,4500,5,25,17,1015,61,,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,180,6,9999,4500,5,24,17,1015,65,,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,150,8,9999,4700,5,24,17,1015,65,,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,170,7,9999,4000,5,23,17,1015,69,,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,190,6,9999,4000,5,23,18,1016,73,,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,180,6,9999,4000,5,23,17,1016,69,,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,200,5,9999,NIL,NIL,22,18,1017,78,,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,200,5,9999,,NIL,22,17,1017,73,,,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,200,5,9999,,NIL,21,17,1017,78,,,,,,,,,,,
