validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['01:00', '01/01']",01/01 01:00,90,4,9999,NIL,27,22,1009,74,,,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,5,9999,NIL,26,22,1009,79,,,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,90,2,9999,NIL,26,21,1008,74,,,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,100,3,9999,NIL,25,21,1008,79,,,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,70,4,9999,NIL,25,21,1007,79,,,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,120,2,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,0,0,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,80,3,9999,NIL,24,21,1007,83,,,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,70,2,9999,NIL,25,22,1008,83,,,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,110,3,9999,NIL,27,22,1008,74,,,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,70,4,9999,NIL,29,22,1008,66,,,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,50,6,9999,NIL,30,21,1007,59,,,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,40,6,9999,NIL,32,20,1007,49,,,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,50,8,9999,NIL,33,19,1007,44,,,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,10,8,9999,NIL,35,19,1006,39,,,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,30,10,9999,NIL,35,19,1005,39,,,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,90,8,9999,2,36,20,1004,39,,,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,130,12,9999,2,35,21,1003,44,,,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,13,9999,2,34,20,1003,44,,,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,140,10,9999,2,34,20,1003,44,,,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,330,6,9999,2,30,21,1003,59,,,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,320,5,9999,NIL,29,20,1004,58,,,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,290,5,9999,NIL,29,20,1005,58,,,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,330,5,9999,NIL,28,20,1005,62,,,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,350,7,9999,NIL,27,22,1006,74,NIL,NIL,NIL,NIL,,,,,,,,
"['02:00', '02/01']",02/01 02:00,330,6,9999,NIL,27,22,1006,74,NIL,NIL,NIL,NIL,,,,,,,,
"['03:00', '02/01']",02/01 03:00,330,5,9999,NIL,27,22,1005,74,NIL,NIL,NIL,NIL,,,,,,,,
"['04:00', '02/01']",02/01 04:00,40,3,9999,NIL,27,22,1005,74,NIL,NIL,NIL,NIL,,,,,,,,
"['05:00', '02/01']",02/01 05:00,30,4,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['06:00', '02/01']",02/01 06:00,290,2,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,4,9999,NIL,26,22,1004,79,NIL,NIL,NIL,NIL,,,,,,,,
"['08:00', '02/01']",02/01 08:00,270,3,9999,NIL,27,20,1004,66,NIL,NIL,NIL,NIL,,,,,,,,
"['09:00', '02/01']",02/01 09:00,240,5,9999,NIL,27,21,1005,70,NIL,NIL,NIL,NIL,,,,,,,,
"['10:00', '02/01']",02/01 10:00,290,5,9999,NIL,30,21,1006,59,NIL,NIL,NIL,NIL,,,,,,,,
"['11:00', '02/01']",02/01 11:00,290,8,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['12:00', '02/01']",02/01 12:00,300,9,9999,5,31,20,1006,52,NIL,NIL,NIL,10000,,,,,,,,
"['13:00', '02/01']",02/01 13:00,280,9,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['14:00', '02/01']",02/01 14:00,250,9,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['15:00', '02/01']",02/01 15:00,270,7,9999,5,32,22,1006,56,NIL,NIL,NIL,10000,,,,,,,,
"['16:00', '02/01']",02/01 16:00,230,9,9999,5,32,21,1006,52,NIL,NIL,NIL,10000,,,,,,,,
"['17:00', '02/01']",02/01 17:00,200,14,9999,5,31,21,1006,55,NIL,NIL,NIL,10000,,,,,,,,
"['18:00', '02/01']",02/01 18:00,210,15,9999,5,32,22,1005,56,NIL,NIL,NIL,10000,,,,,,,,
"['19:00', '02/01']",02/01 19:00,210,14,9999,5,30,21,1005,59,NIL,NIL,NIL,10000,,,,,,,,
"['20:00', '02/01']",02/01 20:00,230,9,9999,8,29,20,1007,58,NIL,NIL,NIL,10000,,,,,,,,
"['20:20', '02/01']",02/01 20:20,240,8,9999,8,27,22,1008,74,4000,315,1,1500,,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,14,9999,8,26,23,1008,84,4000,45,1,1800,,,,,,,,
"['21:30', '02/01']",02/01 21:30,40,16,9999,8,24,22,1009,89,3500,45,1,1500,,,,,,,,
"['22:00', '02/01']",02/01 22:00,40,11,6000,8,24,22,1009,89,NIL,NIL,1,1800,,,,,,,,
"['23:00', '02/01']",02/01 23:00,140,8,7000,8,24,22,1009,89,NIL,NIL,1,1800,,,,,,,,
"['00:00', '03/01']",03/01 00:00,100,7,7000,8,24,22,1010,89,NIL,NIL,NIL,1700,,,,,,,,
"['01:00', '03/01']",03/01 01:00,160,5,9000,5,24,22,1009,89,,,NIL,10000,NIL,NIL,,,,,,
"['02:00', '03/01']",03/01 02:00,180,3,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '03/01']",03/01 03:00,330,3,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '03/01']",03/01 04:00,310,6,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '03/01']",03/01 05:00,330,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '03/01']",03/01 06:00,350,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '03/01']",03/01 07:00,350,5,9999,3,24,22,1008,89,,,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '03/01']",03/01 08:00,360,3,9999,5,24,22,1009,89,,,NIL,8000,NIL,NIL,,,,,,
"['09:00', '03/01']",03/01 09:00,20,2,9999,3,24,22,1009,89,,,NIL,NIL,NIL,NIL,,,,,,
"['10:00', '03/01']",03/01 10:00,360,5,9999,3,25,22,1009,83,,,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '03/01']",03/01 11:00,340,2,9999,5,26,22,1009,79,,,NIL,10000,NIL,NIL,,,,,,
"['12:00', '03/01']",03/01 12:00,10,3,9999,5,27,22,1010,74,,,NIL,10000,NIL,NIL,,,,,,
"['13:00', '03/01']",03/01 13:00,350,4,9999,5,29,22,1010,66,,,NIL,7000,NIL,NIL,,,,,,
"['14:00', '03/01']",03/01 14:00,220,12,9999,5,26,22,1010,79,,,1,2500,1,NIL,,,,,,
"['14:14', '03/01']",03/01 14:14,230,7,3000,5,24,23,1011,94,,,1,1400,1,NIL,,,,,,
"['15:00', '03/01']",03/01 15:00,200,8,6000,8,24,22,1010,89,,,1,2000,1,NIL,,,,,,
"['16:00', '03/01']",03/01 16:00,210,13,9999,5,26,23,1010,84,,,1,4000,1,NIL,,,,,,
"['17:00', '03/01']",03/01 17:00,250,9,9999,8,26,22,1009,79,,,NIL,4700,NIL,NIL,,,,,,
"['18:00', '03/01']",03/01 18:00,250,9,9999,8,25,22,1009,83,,,NIL,5000,NIL,NIL,,,,,,
"['19:00', '03/01']",03/01 19:00,260,7,9999,8,25,22,1009,83,,,1,1500,NIL,NIL,,,,,,
"['20:00', '03/01']",03/01 20:00,240,7,9999,8,25,21,1009,79,,,NIL,5000,NIL,NIL,,,,,,
"['20:44', '03/01']",03/01 20:44,220,7,5000,8,23,22,1010,94,,,1,2000,NIL,1,,,,,,
"['21:00', '03/01']",03/01 21:00,200,2,6000,8,23,22,1010,94,,,1,2000,NIL,NIL,,,,,,
"['22:00', '03/01']",03/01 22:00,310,2,6000,8,23,22,1010,94,,,1,2000,NIL,NIL,,,,,,
"['23:00', '03/01']",03/01 23:00,350,5,6000,8,24,22,1010,89,,,1,6000,NIL,NIL,,,,,,
"['00:00', '04/01']",04/01 00:00,330,3,9999,8,24,22,1011,89,,,NIL,4000,NIL,NIL,,,,,,
"['01:00', '04/01']",04/01 01:00,330,5,9999,8,24,22,1011,89,,,NIL,4000,,,,,,,,
"['02:00', '04/01']",04/01 02:00,320,6,9999,8,24,22,1010,89,,,NIL,2000,,,,,,,,
