validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,vnt_vrb,nevoa_umida,nevoeiro,nevoa_seca,pancada,granizo
"['01:00', '01/01']",01/01 01:00,40,5,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,19,1017,88,,,,,,,,
"['02:00', '01/01']",01/01 02:00,270,5,9999,NIL,NIL,NIL,NIL,NIL,2,20,18,1016,88,,,,,,,,
"['03:00', '01/01']",01/01 03:00,320,5,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1016,83,,,,,,,,
"['04:00', '01/01']",01/01 04:00,270,6,9999,NIL,NIL,NIL,NIL,10000,5,21,18,1016,83,,,,,,,,
"['05:00', '01/01']",01/01 05:00,240,5,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1015,83,,,,,,,,
"['06:00', '01/01']",01/01 06:00,180,3,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1015,83,,,,,,,,
"['07:00', '01/01']",01/01 07:00,300,6,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1015,83,,,,,,,,
"['08:00', '01/01']",01/01 08:00,300,2,9999,NIL,NIL,NIL,NIL,NIL,NIL,21,18,1016,83,,,,,,,,
"['09:00', '01/01']",01/01 09:00,310,2,8000,NIL,NIL,1,NIL,8000,5,20,19,1016,94,,,,,,,,
"['10:00', '01/01']",01/01 10:00,290,4,8000,NIL,NIL,NIL,NIL,1700,5,21,19,1017,88,,,,,,,,
"['11:00', '01/01']",01/01 11:00,340,5,9999,NIL,NIL,NIL,NIL,1700,5,21,19,1017,88,,,,,,,,
"['12:00', '01/01']",01/01 12:00,300,5,9999,NIL,NIL,NIL,NIL,1500,5,22,18,1018,78,,,,,,,,
"['13:00', '01/01']",01/01 13:00,320,4,9999,NIL,NIL,NIL,NIL,2300,5,22,19,1018,83,,,,,,,,
"['14:00', '01/01']",01/01 14:00,290,5,9999,NIL,NIL,NIL,NIL,2100,5,24,19,1018,74,,,,,,,,
"['15:00', '01/01']",01/01 15:00,310,4,9999,NIL,NIL,NIL,NIL,6500,5,25,19,1018,69,,,,,,,,
"['16:00', '01/01']",01/01 16:00,310,7,9999,NIL,NIL,NIL,NIL,10000,5,26,17,1017,58,,,,,,,,
"['17:00', '01/01']",01/01 17:00,220,3,9999,NIL,NIL,NIL,NIL,3600,5,27,17,1016,54,,,,,,,,
"['18:00', '01/01']",01/01 18:00,360,7,9999,NIL,NIL,NIL,NIL,NIL,3,26,18,1015,61,,,,,,,,
"['19:00', '01/01']",01/01 19:00,290,5,9000,NIL,NIL,1,1,NIL,3,23,19,1015,78,,,,,,,,
"['20:00', '01/01']",01/01 20:00,160,3,9999,4500,90,1,1,10000,5,21,20,1016,94,,,,,,,,
"['21:00', '01/01']",01/01 21:00,0,0,9999,NIL,NIL,NIL,1,NIL,3,21,20,1016,94,,,,,,,,
"['22:00', '01/01']",01/01 22:00,0,0,9999,NIL,NIL,NIL,NIL,NIL,3,21,19,1017,88,,,,,,,,
"['23:00', '01/01']",01/01 23:00,230,1,9999,NIL,NIL,NIL,NIL,NIL,3,20,20,1017,100,,,,,,,,
"['00:00', '02/01']",02/01 00:00,100,3,9999,NIL,NIL,NIL,NIL,900,5,21,20,1018,94,,,,,,,,
"['01:00', '02/01']",02/01 01:00,140,4,9999,,,,,900,5,21,20,1018,94,NIL,,,,,,,
