validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['01:00', '01/01']",01/01 01:00,110,5,NIL,9999,NIL,NIL,NIL,NIL,24,18,1012,69,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,80,4,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,120,6,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,110,6,NIL,9999,NIL,NIL,NIL,NIL,23,18,1011,73,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,120,5,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,140,4,NIL,9999,NIL,NIL,NIL,NIL,22,19,1011,83,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,60,4,NIL,9999,NIL,NIL,NIL,2,22,18,1011,78,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,40,5,NIL,9999,NIL,NIL,NIL,2,23,18,1011,73,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,30,8,NIL,9999,NIL,NIL,NIL,2,24,18,1011,69,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,30,12,NIL,9999,NIL,NIL,NIL,2,25,18,1012,65,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,20,10,NIL,9999,NIL,NIL,NIL,NIL,26,18,1012,61,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,360,11,NIL,9999,NIL,NIL,NIL,3,26,18,1013,61,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,360,10,NIL,9999,NIL,NIL,NIL,3,29,19,1012,55,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,340,8,NIL,9999,NIL,NIL,NIL,3,29,18,1012,52,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,340,7,155,9999,NIL,NIL,4000,5,31,18,1011,46,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,350,7,NIL,9999,NIL,NIL,4700,5,31,18,1010,46,,,,,,,,,
