validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['01:00', '01/01']",01/01 01:00,130,9,NIL,9999,NIL,3,22,14,1014,60,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,110,7,120,9999,NIL,3,22,14,1015,60,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,110,5,NIL,9999,7000,5,21,15,1015,69,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,110,5,NIL,9999,4500,5,21,14,1015,64,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,120,5,120,9999,4500,8,21,14,1014,64,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,120,5,NIL,9999,NIL,3,21,14,1014,64,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,90,4,NIL,9999,4700,5,20,15,1015,73,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,100,4,NIL,9999,NIL,NIL,20,15,1015,73,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,100,3,NIL,9999,NIL,NIL,20,15,1016,73,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,50,4,NIL,9999,NIL,NIL,21,15,1016,69,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,100,4,NIL,9999,NIL,NIL,23,14,1016,57,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,NIL,NIL,NIL,9999,NIL,NIL,24,13,1017,50,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,VRB,5,NIL,9999,NIL,NIL,25,11,1016,41,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,300,9,285,9999,NIL,NIL,26,14,1016,48,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,240,8,245,9999,NIL,NIL,27,15,1016,48,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,260,9,NIL,9999,NIL,NIL,27,13,1016,42,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,260,9,275,9999,NIL,NIL,28,12,1015,37,,,,,,,,,,
