validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['01:00', '01/01']",01/01 01:00,70,4,9999,NIL,NIL,2,28,22,1013,70,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,4,9999,NIL,5000,5,28,23,1012,74,,,,,,,,
"['03:00', '01/01']",01/01 03:00,100,4,9999,NIL,7000,5,28,23,1012,74,,,,,,,,
"['04:00', '01/01']",01/01 04:00,70,6,7000,1,2000,5,26,22,1011,79,,,,,,,,
"['05:00', '01/01']",01/01 05:00,90,4,9999,NIL,6000,5,26,22,1011,79,,,,,,,,
"['06:00', '01/01']",01/01 06:00,70,5,9999,NIL,2100,5,27,23,1011,79,,,,,,,,
"['07:00', '01/01']",01/01 07:00,70,5,9999,NIL,NIL,3,27,23,1011,79,,,,,,,,
"['08:00', '01/01']",01/01 08:00,60,3,9999,NIL,1900,5,27,23,1011,79,,,,,,,,
"['09:00', '01/01']",01/01 09:00,70,5,9999,NIL,2100,5,27,22,1012,74,,,,,,,,
"['10:00', '01/01']",01/01 10:00,70,5,9999,NIL,2300,5,29,22,1012,66,,,,,,,,
"['11:00', '01/01']",01/01 11:00,50,6,9999,NIL,5000,5,29,22,1013,66,,,,,,,,
"['12:00', '01/01']",01/01 12:00,90,7,9999,NIL,5000,5,29,23,1013,70,,,,,,,,
"['13:00', '01/01']",01/01 13:00,70,8,9999,NIL,6000,5,29,22,1013,66,,,,,,,,
"['14:00', '01/01']",01/01 14:00,80,7,9999,NIL,7000,5,30,23,1012,66,,,,,,,,
"['15:00', '01/01']",01/01 15:00,70,7,9999,NIL,7000,5,29,22,1012,66,,,,,,,,
"['16:00', '01/01']",01/01 16:00,60,7,9999,NIL,8000,5,29,23,1011,70,,,,,,,,
"['17:00', '01/01']",01/01 17:00,60,6,9999,NIL,8000,5,29,22,1011,66,,,,,,,,
"['18:00', '01/01']",01/01 18:00,90,7,9999,NIL,10000,8,29,22,1010,66,,,,,,,,
"['19:00', '01/01']",01/01 19:00,70,7,9999,NIL,10000,8,28,22,1010,70,,,,,,,,
"['20:00', '01/01']",01/01 20:00,90,7,9999,NIL,10000,5,28,23,1010,74,,,,,,,,
"['21:00', '01/01']",01/01 21:00,80,7,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,
"['22:00', '01/01']",01/01 22:00,60,6,9999,NIL,NIL,3,28,22,1011,70,,,,,,,,
"['23:00', '01/01']",01/01 23:00,90,5,9999,NIL,NIL,3,28,22,1012,70,,,,,,,,
"['00:00', '02/01']",02/01 00:00,100,6,9999,NIL,NIL,2,28,22,1012,70,,,,,,,,
"['01:00', '02/01']",02/01 01:00,90,7,9999,,NIL,3,28,22,1012,70,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,90,7,9999,,NIL,3,28,22,1012,70,90,,,,,,,
"['03:00', '02/01']",02/01 03:00,80,5,9999,,NIL,2,28,22,1012,70,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,90,5,9999,,NIL,3,28,22,1011,70,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,100,4,9999,,NIL,3,27,23,1011,79,95,,,,,,,
"['06:00', '02/01']",02/01 06:00,30,3,9999,,NIL,3,26,23,1011,84,205,,,,,,,
"['07:00', '02/01']",02/01 07:00,290,3,9999,,NIL,2,26,23,1011,84,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,310,4,9999,,NIL,3,25,23,1011,89,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,320,3,9999,,10000,5,25,23,1012,89,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,310,4,9999,,NIL,3,27,23,1012,79,315,,,,,,,
"['11:00', '02/01']",02/01 11:00,60,6,9999,,NIL,3,29,23,1013,70,NIL,,,,,,,
"['12:00', '02/01']",02/01 12:00,60,7,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,
"['13:00', '02/01']",02/01 13:00,80,8,9999,,NIL,3,30,23,1013,66,NIL,,,,,,,
"['14:00', '02/01']",02/01 14:00,80,7,9999,,NIL,3,30,24,1012,70,NIL,,,,,,,
"['15:00', '02/01']",02/01 15:00,70,9,9999,,NIL,3,30,23,1012,66,NIL,,,,,,,
"['16:00', '02/01']",02/01 16:00,50,9,9999,,NIL,3,31,24,1012,66,235,,,,,,,
"['17:00', '02/01']",02/01 17:00,60,10,9999,,NIL,3,30,23,1011,66,NIL,,,,,,,
"['18:00', '02/01']",02/01 18:00,60,8,9999,,NIL,3,30,23,1011,66,70,,,,,,,
"['19:00', '02/01']",02/01 19:00,70,7,9999,,NIL,3,30,22,1011,62,70,,,,,,,
"['20:00', '02/01']",02/01 20:00,60,8,9999,,NIL,2,29,22,1011,66,65,,,,,,,
"['21:00', '02/01']",02/01 21:00,70,8,9999,,NIL,2,28,23,1011,74,75,,,,,,,
