validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['01:00', '01/01']",01/01 01:00,120,8,NIL,9999,3,26,21,1014,74,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,120,5,NIL,9999,3,25,21,1013,79,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,110,7,NIL,9999,3,24,21,1013,83,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,100,7,NIL,9999,3,25,21,1012,79,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,110,8,NIL,9999,3,25,20,1012,74,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,100,7,NIL,9999,3,25,19,1012,69,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,110,6,NIL,9999,3,25,20,1013,74,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,130,6,NIL,9999,3,26,20,1014,70,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,110,7,105,9999,3,27,20,1014,66,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,130,8,125,9999,3,28,20,1014,62,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,110,8,110,9999,3,28,20,1014,62,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,110,9,120,9999,3,28,20,1014,62,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,130,9,130,9999,3,29,20,1013,58,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,100,9,105,9999,3,28,20,1013,62,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,120,9,115,9999,3,28,20,1012,62,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,120,10,NIL,9999,3,28,20,1012,62,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,120,8,115,9999,3,27,20,1012,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,130,8,NIL,9999,3,27,20,1013,66,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,120,7,130,9999,3,26,20,1013,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,120,8,115,9999,2,26,20,1013,70,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,130,8,NIL,9999,3,26,20,1013,70,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,130,9,NIL,9999,3,26,20,1014,70,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,110,5,,9999,3,26,20,1014,70,NIL,,,,,,,,,
"['02:00', '02/01']",02/01 02:00,100,7,,9999,3,26,20,1013,70,NIL,,,,,,,,,
"['03:00', '02/01']",02/01 03:00,100,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['04:00', '02/01']",02/01 04:00,100,5,,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['05:00', '02/01']",02/01 05:00,110,6,,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['06:00', '02/01']",02/01 06:00,110,5,,9999,2,25,19,1011,69,NIL,,,,,,,,,
"['07:00', '02/01']",02/01 07:00,90,3,,9999,2,25,19,1012,69,NIL,,,,,,,,,
"['08:00', '02/01']",02/01 08:00,0,0,,9999,3,24,20,1012,78,NIL,,,,,,,,,
"['09:00', '02/01']",02/01 09:00,320,3,,9999,3,23,20,1012,83,NIL,,,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,4,,9999,3,27,20,1012,66,NIL,,,,,,,,,
"['11:00', '02/01']",02/01 11:00,110,5,,9999,5,28,20,1013,62,2000,,,,,,,,,
"['12:00', '02/01']",02/01 12:00,110,7,,9999,3,28,20,1013,62,NIL,,,,,,,,,
"['13:00', '02/01']",02/01 13:00,110,7,,9999,3,28,21,1013,66,NIL,,,,,,,,,
"['14:00', '02/01']",02/01 14:00,100,8,,9999,3,29,20,1013,58,NIL,,,,,,,,,
"['15:00', '02/01']",02/01 15:00,110,8,,9999,3,29,20,1012,58,NIL,,,,,,,,,
"['17:00', '02/01']",02/01 17:00,140,10,,9999,5,29,21,1011,62,2000,,,,,,,,,
"['18:00', '02/01']",02/01 18:00,90,9,,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['19:00', '02/01']",02/01 19:00,100,7,,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['20:00', '02/01']",02/01 20:00,110,8,,9999,3,27,20,1011,66,NIL,,,,,,,,,
"['21:00', '02/01']",02/01 21:00,110,7,,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['22:00', '02/01']",02/01 22:00,100,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['23:00', '02/01']",02/01 23:00,80,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['00:00', '03/01']",03/01 00:00,90,7,,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['01:00', '03/01']",03/01 01:00,100,5,NIL,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['02:00', '03/01']",03/01 02:00,90,7,90,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['03:00', '03/01']",03/01 03:00,90,6,85,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['04:00', '03/01']",03/01 04:00,90,8,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['05:00', '03/01']",03/01 05:00,90,7,90,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['06:00', '03/01']",03/01 06:00,100,5,85,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['07:00', '03/01']",03/01 07:00,110,6,NIL,9999,3,25,20,1010,74,NIL,,,,,,,,,
"['08:00', '03/01']",03/01 08:00,100,5,95,9999,3,25,20,1011,74,NIL,,,,,,,,,
"['09:00', '03/01']",03/01 09:00,110,4,100,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['10:00', '03/01']",03/01 10:00,100,4,95,9999,3,26,20,1012,70,NIL,,,,,,,,,
"['11:00', '03/01']",03/01 11:00,100,8,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['12:00', '03/01']",03/01 12:00,70,8,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['13:00', '03/01']",03/01 13:00,100,6,NIL,9999,3,28,21,1012,66,NIL,,,,,,,,,
"['14:00', '03/01']",03/01 14:00,100,9,NIL,9999,3,28,20,1012,62,NIL,,,,,,,,,
"['15:00', '03/01']",03/01 15:00,110,9,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['16:00', '03/01']",03/01 16:00,110,9,NIL,9999,3,28,20,1011,62,NIL,,,,,,,,,
"['17:00', '03/01']",03/01 17:00,130,11,NIL,9999,3,29,21,1010,62,NIL,,,,,,,,,
"['18:00', '03/01']",03/01 18:00,100,9,NIL,9999,3,28,21,1010,66,NIL,,,,,,,,,
"['19:00', '03/01']",03/01 19:00,120,11,NIL,9999,3,27,20,1010,66,NIL,,,,,,,,,
"['20:00', '03/01']",03/01 20:00,110,7,NIL,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['21:00', '03/01']",03/01 21:00,110,7,NIL,9999,3,26,20,1011,70,NIL,,,,,,,,,
"['22:00', '03/01']",03/01 22:00,120,8,NIL,9999,3,26,21,1011,74,NIL,,,,,,,,,
