validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['01:00', '01/01']",01/01 01:00,90,5,9999,NIL,27,23,1008,79,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,360,2,9999,NIL,27,23,1008,79,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,350,5,9999,NIL,26,23,1008,84,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,330,3,9999,NIL,26,23,1008,84,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,2,9999,NIL,26,23,1007,84,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,330,4,9999,NIL,26,22,1007,79,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,330,4,9999,NIL,25,22,1007,83,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,10,4,9999,NIL,25,22,1007,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,330,5,9999,NIL,26,22,1007,79,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,350,5,9999,NIL,26,22,1007,79,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,5,9999,NIL,27,22,1007,74,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,360,6,9999,NIL,29,21,1007,62,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,330,5,9999,NIL,30,21,1007,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,70,4,9999,NIL,32,24,1006,63,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,60,5,9999,NIL,33,22,1006,53,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,150,6,9999,NIL,32,23,1005,59,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,160,9,9999,2,32,24,1004,63,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,170,12,9999,2,30,22,1004,62,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,180,10,9999,2,30,23,1003,66,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,200,11,9999,3,31,22,1003,59,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,180,8,9999,3,31,22,1003,59,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,320,4,9999,NIL,30,22,1003,62,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,320,5,9999,NIL,30,22,1004,62,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,300,9,9999,NIL,29,25,1005,79,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,330,8,9999,NIL,29,22,1005,66,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,320,6,9999,NIL,28,23,1006,74,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,100,6,9999,NIL,28,23,1005,74,NIL,NIL,NIL,NIL,,,,,,
