validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['01:00', '01/01']",01/01 01:00,150,4,NIL,9999,1,1,10000,5,26,24,1012,89,,,,,,,
"['02:00', '01/01']",01/01 02:00,60,6,NIL,9999,NIL,1,NIL,3,26,23,1012,84,,,,,,,
"['08:50', '01/01']",01/01 08:50,50,4,NIL,9999,NIL,NIL,NIL,3,25,24,1011,94,,,,,,,
"['09:00', '01/01']",01/01 09:00,60,4,NIL,9999,NIL,NIL,NIL,3,25,24,1011,94,,,,,,,
"['10:00', '01/01']",01/01 10:00,10,1,NIL,9999,NIL,NIL,NIL,2,26,24,1011,89,,,,,,,
"['11:00', '01/01']",01/01 11:00,10,3,NIL,9000,NIL,NIL,NIL,2,27,25,1012,89,,,,,,,
"['12:00', '01/01']",01/01 12:00,10,4,NIL,9000,NIL,NIL,NIL,2,27,25,1012,89,,,,,,,
"['12:15', '01/01']",01/01 12:15,120,4,NIL,9000,NIL,NIL,NIL,2,28,25,1012,84,,,,,,,
"['13:00', '01/01']",01/01 13:00,150,6,NIL,9999,NIL,NIL,NIL,3,28,24,1012,79,,,,,,,
"['15:00', '01/01']",01/01 15:00,160,13,NIL,9999,NIL,NIL,NIL,3,27,24,1012,84,,,,,,,
"['16:00', '01/01']",01/01 16:00,150,12,NIL,9999,NIL,NIL,NIL,3,28,23,1012,74,,,,,,,
"['17:00', '01/01']",01/01 17:00,180,13,NIL,9999,NIL,NIL,10000,5,28,23,1012,74,,,,,,,
"['18:00', '01/01']",01/01 18:00,170,13,NIL,9999,NIL,NIL,10000,5,27,23,1012,79,,,,,,,
"['19:00', '01/01']",01/01 19:00,140,10,NIL,9999,NIL,NIL,10000,5,26,24,1012,89,,,,,,,
"['20:00', '01/01']",01/01 20:00,160,4,NIL,9999,NIL,NIL,10000,5,26,23,1012,84,,,,,,,
"['21:00', '01/01']",01/01 21:00,190,6,NIL,9999,NIL,NIL,10000,5,26,22,1012,79,,,,,,,
"['22:00', '01/01']",01/01 22:00,160,5,165,9000,1,NIL,10000,5,25,23,1013,89,,,,,,,
"['23:00', '01/01']",01/01 23:00,180,7,NIL,9000,1,NIL,10000,5,25,23,1013,89,,,,,,,
"['00:00', '02/01']",02/01 00:00,140,4,NIL,9999,NIL,NIL,10000,5,25,23,1013,89,,,,,,,
"['01:00', '02/01']",02/01 01:00,300,4,NIL,9999,NIL,NIL,10000,5,25,23,1014,89,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,VRB,2,NIL,9999,NIL,NIL,10000,5,25,23,1014,89,NIL,,,,,,
"['08:50', '02/01']",02/01 08:50,30,5,NIL,9999,NIL,NIL,10000,5,24,23,1012,94,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,50,5,NIL,9999,NIL,NIL,1700,5,24,23,1012,94,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,20,4,NIL,9999,NIL,NIL,10000,5,25,24,1012,94,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,10,3,NIL,9000,NIL,NIL,1700,5,26,24,1012,89,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,40,7,NIL,9000,NIL,NIL,2000,5,26,25,1012,94,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,140,7,NIL,9000,NIL,NIL,10000,5,27,24,1012,84,NIL,,,,,,
