validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['01:00', '01/01']",01/01 01:00,80,4,85,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['02:00', '01/01']",01/01 02:00,60,5,75,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['02:01', '01/01']",01/01 02:01,60,5,60,9999,NIL,NIL,NIL,NIL,24,19,1014,74,,,,,,,,
"['03:00', '01/01']",01/01 03:00,40,3,220,9999,NIL,NIL,NIL,NIL,24,18,1013,69,,,,,,,,
"['04:00', '01/01']",01/01 04:00,50,3,NIL,9999,NIL,NIL,NIL,NIL,24,18,1013,69,,,,,,,,
"['05:00', '01/01']",01/01 05:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['06:00', '01/01']",01/01 06:00,40,4,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['07:00', '01/01']",01/01 07:00,50,5,NIL,9999,NIL,NIL,NIL,NIL,23,18,1012,73,,,,,,,,
"['08:00', '01/01']",01/01 08:00,40,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1012,78,,,,,,,,
"['09:00', '01/01']",01/01 09:00,10,4,190,9000,NIL,NIL,NIL,NIL,23,18,1013,73,,,,,,,,
"['10:00', '01/01']",01/01 10:00,360,12,190,9999,NIL,NIL,NIL,NIL,24,17,1013,65,,,,,,,,
"['11:00', '01/01']",01/01 11:00,360,11,180,9999,NIL,NIL,NIL,NIL,25,18,1013,65,,,,,,,,
"['12:00', '01/01']",01/01 12:00,340,11,165,9999,NIL,NIL,NIL,NIL,26,18,1013,61,,,,,,,,
"['13:00', '01/01']",01/01 13:00,320,13,NIL,9999,NIL,NIL,NIL,NIL,27,18,1013,58,,,,,,,,
"['14:00', '01/01']",01/01 14:00,330,12,155,9999,NIL,NIL,NIL,2,29,19,1013,55,,,,,,,,
"['15:00', '01/01']",01/01 15:00,320,12,310,9999,NIL,NIL,NIL,3,31,19,1012,49,,,,,,,,
"['16:00', '01/01']",01/01 16:00,330,10,310,9999,NIL,NIL,NIL,NIL,31,16,1012,40,,,,,,,,
"['17:00', '01/01']",01/01 17:00,360,10,NIL,9999,NIL,NIL,NIL,NIL,32,15,1011,36,,,,,,,,
"['18:00', '01/01']",01/01 18:00,350,10,NIL,9999,NIL,NIL,NIL,NIL,32,15,1009,36,,,,,,,,
"['19:00', '01/01']",01/01 19:00,310,7,NIL,9999,NIL,NIL,NIL,2,32,15,1009,36,,,,,,,,
"['20:00', '01/01']",01/01 20:00,160,7,NIL,9999,NIL,NIL,NIL,2,28,19,1009,58,,,,,,,,
"['21:00', '01/01']",01/01 21:00,170,4,NIL,9999,NIL,NIL,5000,5,28,18,1009,55,,,,,,,,
"['22:00', '01/01']",01/01 22:00,200,9,NIL,9999,NIL,1,5000,5,26,19,1011,65,,,,,,,,
"['23:00', '01/01']",01/01 23:00,90,5,NIL,9999,1,1,NIL,NIL,22,18,1012,78,,,,,,,,
"['00:00', '02/01']",02/01 00:00,340,7,NIL,9999,1,NIL,NIL,NIL,23,18,1013,73,,,,,,,,
"['01:00', '02/01']",02/01 01:00,40,6,NIL,9999,1,NIL,NIL,NIL,22,19,1013,83,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,22,19,1013,83,NIL,,,,,,,
"['02:02', '02/01']",02/01 02:02,30,5,NIL,9999,1,NIL,NIL,NIL,22,18,1013,78,NIL,,,,,,,
"['03:00', '02/01']",02/01 03:00,30,4,40,NIL,1,NIL,NIL,NIL,22,19,1012,83,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,50,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,20,3,NIL,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['06:00', '02/01']",02/01 06:00,350,3,170,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['07:00', '02/01']",02/01 07:00,310,4,NIL,9999,NIL,NIL,NIL,NIL,22,18,1010,78,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,320,6,NIL,9999,NIL,NIL,NIL,NIL,22,18,1011,78,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,340,4,160,9999,NIL,NIL,10000,5,22,18,1012,78,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,3,NIL,9999,1,NIL,10000,5,22,18,1012,78,NIL,,,,,,,
"['11:00', '02/01']",02/01 11:00,330,4,160,9999,NIL,NIL,8300,5,22,19,1013,83,NIL,,,,,,,
