validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,chuvisco,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,nevoa_seca,pancada,nevoeiro
"['01:00', '01/01']",01/01 01:00,340,8,NIL,9999,NIL,NIL,NIL,NIL,20,17,1017,83,,,,,,,,
"['02:00', '01/01']",01/01 02:00,340,10,170,9999,NIL,NIL,NIL,2,21,17,1017,78,,,,,,,,
"['02:01', '01/01']",01/01 02:01,340,7,165,9999,NIL,NIL,NIL,2,21,17,1016,78,,,,,,,,
"['03:00', '01/01']",01/01 03:00,NIL,NIL,NIL,9999,NIL,NIL,NIL,2,20,17,1017,83,,,,,,,,
"['04:00', '01/01']",01/01 04:00,NIL,NIL,NIL,9999,NIL,NIL,NIL,2,20,17,1016,83,,,,,,,,
"['05:00', '01/01']",01/01 05:00,NIL,NIL,NIL,9999,NIL,NIL,NIL,2,20,17,1016,83,,,,,,,,
"['06:00', '01/01']",01/01 06:00,NIL,NIL,NIL,9000,NIL,NIL,NIL,NIL,20,17,1015,83,,,,,,,,
"['07:00', '01/01']",01/01 07:00,NIL,NIL,NIL,9999,NIL,NIL,NIL,NIL,20,17,1015,83,,,,,,,,
"['08:00', '01/01']",01/01 08:00,NIL,NIL,NIL,9999,NIL,NIL,NIL,3,20,17,1016,83,,,,,,,,
"['08:15', '01/01']",01/01 08:15,NIL,NIL,NIL,9999,NIL,NIL,800,5,20,17,1016,83,,,,,,,,
"['09:00', '01/01']",01/01 09:00,320,8,NIL,9000,NIL,NIL,900,5,20,18,1017,88,,,,,,,,
"['10:00', '01/01']",01/01 10:00,330,7,NIL,9000,NIL,NIL,900,8,21,18,1018,83,,,,,,,,
"['11:00', '01/01']",01/01 11:00,330,7,NIL,9000,NIL,NIL,1100,8,21,18,1018,83,,,,,,,,
"['12:00', '01/01']",01/01 12:00,300,4,290,9000,NIL,NIL,1100,8,22,18,1019,78,,,,,,,,
"['13:00', '01/01']",01/01 13:00,VRB,5,NIL,9999,NIL,NIL,1500,5,23,18,1019,73,,,,,,,,
"['14:00', '01/01']",01/01 14:00,310,5,310,9999,NIL,NIL,2300,8,24,17,1019,65,,,,,,,,
"['15:00', '01/01']",01/01 15:00,360,6,190,9999,NIL,NIL,5000,5,23,18,1019,73,,,,,,,,
"['16:00', '01/01']",01/01 16:00,30,5,200,9999,NIL,NIL,NIL,2,25,17,1018,61,,,,,,,,
"['17:00', '01/01']",01/01 17:00,310,3,NIL,9999,NIL,NIL,NIL,3,27,17,1017,54,,,,,,,,
"['18:00', '01/01']",01/01 18:00,190,9,NIL,9999,NIL,NIL,2700,5,25,19,1016,69,,,,,,,,
"['18:31', '01/01']",01/01 18:31,180,15,NIL,9999,NIL,NIL,1000,5,23,19,1016,78,,,,,,,,
"['19:00', '01/01']",01/01 19:00,180,10,NIL,2000,1,1,1200,5,22,19,1017,83,,,,,,,,
"['19:17', '01/01']",01/01 19:17,170,8,NIL,9000,1,1,1200,5,22,19,1017,83,,,,,,,,
"['20:00', '01/01']",01/01 20:00,150,7,NIL,9999,NIL,NIL,900,5,22,19,1017,83,,,,,,,,
"['21:00', '01/01']",01/01 21:00,140,8,NIL,9999,NIL,NIL,2300,5,22,19,1017,83,,,,,,,,
"['22:00', '01/01']",01/01 22:00,170,9,NIL,9999,NIL,NIL,1300,5,22,18,1018,78,,,,,,,,
"['23:00', '01/01']",01/01 23:00,150,5,NIL,9999,NIL,NIL,800,8,21,18,1018,83,,,,,,,,
"['23:28', '01/01']",01/01 23:28,150,6,NIL,9999,NIL,NIL,1800,5,21,18,1018,83,,,,,,,,
"['00:00', '02/01']",02/01 00:00,160,10,NIL,9999,NIL,NIL,2500,5,21,18,1019,83,,,,,,,,
"['01:00', '02/01']",02/01 01:00,150,6,NIL,9999,1,,600,5,20,18,1019,88,NIL,NIL,,,,,,
"['02:00', '02/01']",02/01 02:00,160,8,NIL,9999,NIL,,400,8,20,18,1019,88,NIL,NIL,,,,,,
"['02:03', '02/01']",02/01 02:03,160,10,NIL,9999,1,,400,8,20,18,1019,88,NIL,NIL,,,,,,
"['02:09', '02/01']",02/01 02:09,NIL,NIL,NIL,9999,1,,300,8,20,18,1019,88,NIL,NIL,,,,,,
"['03:00', '02/01']",02/01 03:00,NIL,NIL,130,NIL,NIL,,500,8,20,18,1019,88,NIL,NIL,,,,,,
"['03:01', '02/01']",02/01 03:01,NIL,NIL,130,NIL,NIL,,200,8,20,18,1019,88,NIL,NIL,,,,,,
"['03:48', '02/01']",02/01 03:48,NIL,NIL,160,NIL,NIL,,400,8,20,17,1018,83,NIL,NIL,,,,,,
"['04:00', '02/01']",02/01 04:00,NIL,NIL,NIL,9999,NIL,,400,8,20,17,1018,83,NIL,NIL,,,,,,
"['04:05', '02/01']",02/01 04:05,NIL,NIL,NIL,9999,NIL,,100,8,20,17,1018,83,NIL,NIL,,,,,,
"['05:00', '02/01']",02/01 05:00,NIL,NIL,NIL,9999,NIL,,200,8,19,17,1017,88,NIL,NIL,,,,,,
"['05:15', '02/01']",02/01 05:15,NIL,NIL,NIL,9999,NIL,,400,8,19,17,1017,88,NIL,NIL,,,,,,
"['05:57', '02/01']",02/01 05:57,NIL,NIL,NIL,7000,NIL,,300,8,19,17,1017,88,1,NIL,,,,,,
"['06:00', '02/01']",02/01 06:00,NIL,NIL,NIL,7000,NIL,,300,8,19,17,1017,88,1,NIL,,,,,,
"['06:01', '02/01']",02/01 06:01,NIL,NIL,NIL,6000,NIL,,200,8,19,17,1017,88,1,NIL,,,,,,
"['06:15', '02/01']",02/01 06:15,NIL,NIL,NIL,4000,NIL,,500,8,19,17,1017,88,1,NIL,,,,,,
"['06:17', '02/01']",02/01 06:17,NIL,NIL,NIL,4500,NIL,,400,8,19,17,1017,88,1,NIL,,,,,,
"['06:18', '02/01']",02/01 06:18,NIL,NIL,NIL,5000,NIL,,400,8,19,17,1017,88,1,NIL,,,,,,
"['06:30', '02/01']",02/01 06:30,NIL,NIL,NIL,9999,1,,200,8,19,17,1017,88,1,NIL,,,,,,
"['06:57', '02/01']",02/01 06:57,NIL,NIL,NIL,2600,NIL,,100,8,19,17,1017,88,1,NIL,,,,,,
"['07:00', '02/01']",02/01 07:00,NIL,NIL,NIL,2600,NIL,,100,8,19,17,1017,88,1,NIL,,,,,,
"['07:16', '02/01']",02/01 07:16,NIL,NIL,NIL,7000,NIL,,100,8,19,17,1017,88,NIL,NIL,,,,,,
"['07:22', '02/01']",02/01 07:22,NIL,NIL,NIL,4100,NIL,,100,8,19,17,1017,88,NIL,NIL,,,,,,
"['07:34', '02/01']",02/01 07:34,NIL,NIL,NIL,2600,NIL,,100,8,19,17,1017,88,NIL,1,,,,,,
"['07:48', '02/01']",02/01 07:48,NIL,NIL,150,NIL,NIL,,100,8,19,17,1017,88,NIL,NIL,,,,,,
"['07:55', '02/01']",02/01 07:55,NIL,NIL,NIL,4700,NIL,,100,8,19,17,1017,88,NIL,NIL,,,,,,
"['08:00', '02/01']",02/01 08:00,NIL,NIL,NIL,4700,NIL,,100,8,19,17,1017,88,NIL,NIL,,,,,,
"['08:12', '02/01']",02/01 08:12,NIL,NIL,NIL,6000,NIL,,300,8,19,17,1018,88,NIL,NIL,,,,,,
"['08:16', '02/01']",02/01 08:16,NIL,NIL,NIL,5000,NIL,,200,8,19,17,1018,88,NIL,1,,,,,,
"['08:17', '02/01']",02/01 08:17,NIL,NIL,NIL,4900,NIL,,300,8,19,17,1018,88,NIL,1,,,,,,
"['08:27', '02/01']",02/01 08:27,NIL,NIL,NIL,7000,NIL,,300,8,19,17,1018,88,NIL,NIL,,,,,,
"['09:00', '02/01']",02/01 09:00,160,7,NIL,7000,NIL,,500,8,19,17,1018,88,NIL,NIL,,,,,,
"['10:00', '02/01']",02/01 10:00,150,5,NIL,9999,NIL,,600,8,19,17,1018,88,NIL,NIL,,,,,,
"['11:00', '02/01']",02/01 11:00,130,4,NIL,9999,NIL,,800,8,20,17,1018,83,NIL,NIL,,,,,,
"['12:00', '02/01']",02/01 12:00,120,4,NIL,9999,NIL,,900,8,21,17,1018,78,NIL,NIL,,,,,,
"['13:00', '02/01']",02/01 13:00,160,6,NIL,9999,NIL,,1200,5,21,17,1019,78,NIL,NIL,,,,,,
"['14:00', '02/01']",02/01 14:00,170,9,NIL,9999,NIL,,900,5,22,17,1019,73,NIL,NIL,,,,,,
