validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['01:00', '01/01']",01/01 01:00,40,6,NIL,9999,NIL,NIL,6000,5,27,24,1013,84,,,
"['02:00', '01/01']",01/01 02:00,20,4,NIL,9999,NIL,NIL,1800,5,26,23,1013,84,,,
"['03:00', '01/01']",01/01 03:00,10,4,NIL,9999,NIL,NIL,2000,5,26,23,1012,84,,,
"['04:00', '01/01']",01/01 04:00,360,6,170,9999,NIL,NIL,1800,5,26,22,1011,79,,,
"['05:00', '01/01']",01/01 05:00,10,5,NIL,9999,NIL,NIL,6000,5,25,22,1010,83,,,
"['06:00', '01/01']",01/01 06:00,30,6,NIL,9999,NIL,NIL,6000,5,25,22,1011,83,,,
"['07:00', '01/01']",01/01 07:00,10,4,NIL,9999,NIL,NIL,6000,5,25,22,1011,83,,,
"['08:00', '01/01']",01/01 08:00,50,5,NIL,9999,NIL,NIL,6000,5,25,21,1011,79,,,
"['09:00', '01/01']",01/01 09:00,10,5,NIL,9999,NIL,NIL,6000,5,25,21,1012,79,,,
"['10:00', '01/01']",01/01 10:00,350,5,NIL,9999,NIL,NIL,7000,5,25,22,1012,83,,,
"['11:00', '01/01']",01/01 11:00,360,6,165,9999,NIL,NIL,7000,5,26,23,1013,84,,,
"['12:00', '01/01']",01/01 12:00,360,8,180,9999,NIL,NIL,7000,5,27,24,1013,84,,,
"['13:00', '01/01']",01/01 13:00,10,8,185,9999,NIL,NIL,NIL,3,29,25,1012,79,,,
"['14:00', '01/01']",01/01 14:00,10,8,180,9999,NIL,NIL,NIL,3,31,24,1012,66,,,
"['15:00', '01/01']",01/01 15:00,80,14,NIL,9999,NIL,NIL,NIL,3,28,25,1011,84,,,
"['16:00', '01/01']",01/01 16:00,70,13,NIL,9999,1,NIL,NIL,3,28,25,1010,84,,,
"['17:00', '01/01']",01/01 17:00,70,16,NIL,9999,NIL,NIL,6000,5,29,26,1010,84,,,
"['17:38', '01/01']",01/01 17:38,70,19,NIL,7000,1,1,1700,5,28,25,1009,84,,,
"['18:00', '01/01']",01/01 18:00,60,19,NIL,7000,1,1,1700,5,27,24,1010,84,,,
"['18:15', '01/01']",01/01 18:15,40,13,NIL,3000,1,1,1000,5,26,23,1010,84,,,
"['18:40', '01/01']",01/01 18:40,80,10,NIL,9000,NIL,1,1500,5,26,22,1010,79,,,
"['19:00', '01/01']",01/01 19:00,70,12,NIL,9999,NIL,1,1500,5,25,22,1010,83,,,
"['20:00', '01/01']",01/01 20:00,60,15,NIL,9999,NIL,1,6000,5,27,23,1010,79,,,
"['21:00', '01/01']",01/01 21:00,50,13,NIL,9999,NIL,NIL,6000,5,27,23,1010,79,,,
