validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vnt_vrb,teto,chuva,nevoa_umida,vnt_rajada,pancada,trovoada,vis_setor,vis_setor_dir,nevoeiro
"['01:00', '01/01']",01/01 01:00,90,10,9999,3,28,21,1014,66,,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,90,9,9999,2,28,21,1013,66,,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,80,9,9999,3,27,22,1013,74,,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,80,8,9999,2,27,22,1013,74,,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,80,8,9999,3,27,21,1013,70,,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,80,5,9999,3,27,21,1013,70,,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,0,0,9999,2,25,22,1013,83,,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,9999,3,25,22,1014,83,,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,360,3,9999,3,26,22,1014,79,,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,10,5,9999,2,27,22,1015,74,,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,40,6,9999,2,29,22,1014,66,,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,80,10,9999,3,30,20,1015,55,,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,80,10,9999,3,30,21,1015,59,,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,90,10,9999,3,30,22,1015,62,,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,80,11,9999,3,31,23,1014,63,,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,90,11,9999,2,31,22,1014,59,,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,80,11,9999,3,30,22,1013,62,,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,90,12,9999,2,30,21,1013,59,,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,100,12,9999,2,30,22,1012,62,,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,90,12,9999,2,29,22,1013,66,,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,80,12,9999,2,28,22,1012,70,,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,80,12,9999,2,28,22,1012,70,,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,80,12,9999,2,28,22,1013,70,,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,70,12,9999,2,28,22,1013,70,,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,70,12,9999,2,28,22,1013,70,NIL,NIL,,,,,,,,
"['02:00', '02/01']",02/01 02:00,70,11,9999,2,27,22,1013,74,NIL,NIL,,,,,,,,
"['03:00', '02/01']",02/01 03:00,70,10,9999,3,27,22,1012,74,NIL,NIL,,,,,,,,
"['04:00', '02/01']",02/01 04:00,70,10,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['05:00', '02/01']",02/01 05:00,60,8,9999,3,27,22,1012,74,NIL,NIL,,,,,,,,
"['06:00', '02/01']",02/01 06:00,50,6,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['07:00', '02/01']",02/01 07:00,20,3,9999,3,27,23,1012,79,NIL,NIL,,,,,,,,
"['08:00', '02/01']",02/01 08:00,360,4,9999,3,26,23,1013,84,NIL,NIL,,,,,,,,
"['09:00', '02/01']",02/01 09:00,340,3,9999,2,26,23,1013,84,NIL,NIL,,,,,,,,
"['10:00', '02/01']",02/01 10:00,20,6,9999,2,28,22,1013,70,200,NIL,,,,,,,,
"['11:00', '02/01']",02/01 11:00,50,9,9999,5,29,23,1013,70,NIL,2000,,,,,,,,
"['12:00', '02/01']",02/01 12:00,60,14,9999,5,29,22,1013,66,NIL,2000,,,,,,,,
"['13:00', '02/01']",02/01 13:00,60,15,9999,3,30,23,1013,66,NIL,NIL,,,,,,,,
"['14:00', '02/01']",02/01 14:00,70,15,9999,2,30,22,1013,62,NIL,NIL,,,,,,,,
"['15:00', '02/01']",02/01 15:00,80,15,9999,3,30,22,1013,62,NIL,NIL,,,,,,,,
"['16:00', '02/01']",02/01 16:00,70,16,9999,3,31,22,1012,59,NIL,NIL,,,,,,,,
"['17:00', '02/01']",02/01 17:00,70,16,9999,3,30,22,1011,62,NIL,NIL,,,,,,,,
"['18:00', '02/01']",02/01 18:00,80,16,9999,3,30,22,1011,62,NIL,NIL,,,,,,,,
"['19:00', '02/01']",02/01 19:00,80,16,9999,3,30,22,1010,62,NIL,NIL,,,,,,,,
"['20:00', '02/01']",02/01 20:00,80,14,9999,3,29,22,1010,66,NIL,NIL,,,,,,,,
"['21:00', '02/01']",02/01 21:00,80,14,9999,3,28,22,1011,70,NIL,NIL,,,,,,,,
"['22:00', '02/01']",02/01 22:00,70,14,9999,3,28,22,1011,70,NIL,NIL,,,,,,,,
"['23:00', '02/01']",02/01 23:00,70,15,9999,3,28,21,1011,66,NIL,NIL,,,,,,,,
"['00:00', '03/01']",03/01 00:00,70,15,9999,2,28,21,1011,66,NIL,NIL,,,,,,,,
"['01:00', '03/01']",03/01 01:00,60,15,9999,2,28,23,1011,74,,NIL,,,,,,,,
"['02:00', '03/01']",03/01 02:00,70,13,9999,3,28,22,1011,70,,NIL,,,,,,,,
"['03:00', '03/01']",03/01 03:00,70,13,9999,5,27,22,1011,74,,2000,,,,,,,,
"['04:00', '03/01']",03/01 04:00,70,9,9999,5,27,22,1011,74,,2000,,,,,,,,
"['05:00', '03/01']",03/01 05:00,80,10,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['06:00', '03/01']",03/01 06:00,80,10,9999,3,27,22,1010,74,,NIL,,,,,,,,
"['07:00', '03/01']",03/01 07:00,70,11,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['08:00', '03/01']",03/01 08:00,60,11,9999,3,27,22,1011,74,,NIL,,,,,,,,
"['09:00', '03/01']",03/01 09:00,60,11,9999,3,28,22,1011,70,,NIL,,,,,,,,
"['10:00', '03/01']",03/01 10:00,60,12,9999,3,28,22,1012,70,,NIL,,,,,,,,
"['11:00', '03/01']",03/01 11:00,60,13,9999,3,29,22,1012,66,,NIL,,,,,,,,
"['12:00', '03/01']",03/01 12:00,60,13,9999,5,29,22,1012,66,,2000,,,,,,,,
