validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['01:00', '01/01']",01/01 01:00,350,6,NIL,9999,NIL,2,25,22,1013,83,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,360,6,NIL,9999,NIL,3,25,22,1013,83,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,360,6,NIL,9999,NIL,3,25,22,1013,83,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,350,4,NIL,9999,NIL,2,25,22,1012,83,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,360,4,NIL,9999,NIL,2,24,22,1011,89,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,320,4,NIL,9999,2000,5,23,22,1011,94,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,320,3,NIL,9999,NIL,NIL,23,22,1011,94,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,340,2,NIL,9999,NIL,NIL,22,21,1011,94,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,330,3,NIL,9999,NIL,NIL,23,22,1011,94,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,340,3,NIL,9999,NIL,NIL,25,22,1012,83,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,340,6,NIL,9999,NIL,NIL,27,22,1012,74,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,20,8,NIL,9999,NIL,2,29,21,1011,62,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,30,11,NIL,9999,NIL,2,30,22,1011,62,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,20,10,NIL,9999,NIL,3,30,21,1011,59,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,70,15,NIL,9999,NIL,3,30,23,1010,66,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,60,17,NIL,9999,NIL,2,30,23,1009,66,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,50,16,26,9999,NIL,2,30,24,1008,70,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,60,19,NIL,9999,NIL,2,29,23,1008,70,,,,,,,,,
