,Unnamed: 0,Semana,Aeroporto,Ob_mean,Ab_mean,ObxAbxS_Mean,Voos_como_Destino,Voos_como_Origem,Ap,vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,year,semana,avistamento,colisao,quase_colisao
0,1,1,SBAA,0.173212385582601,0.436139130923275,12.4517531649081,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
1,2,1,SBAC,0.248294190045021,0.698477145081217,21.6487984117367,3.0,3.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
2,3,1,SBAE,0.335661308143777,0.872004734217209,24.7849940445873,53.0,52.0,105.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,0.0
3,4,1,SBAF,0.230301396364515,1.00497096223452,31.5833813631575,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
4,5,1,SBAM,0.0906099846997818,0.383851265283181,14.9462793995098,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
5,6,1,SBAN,0.304504082505539,0.681094541342235,19.3569942273867,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
6,7,1,SBAQ,0.311569745696094,0.882435088090718,25.5971417181273,4.0,4.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
7,8,1,SBAR,0.231023703631853,0.72122452258622,22.0303731752294,112.0,107.0,219.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
8,9,1,SBAT,0.141464969166267,0.27255815820712,6.54626477250571,6.0,6.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
9,10,1,SBAU,0.303197971728093,0.933126977863326,23.6235396640823,29.0,27.0,56.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
10,11,1,SBAX,0.301156870870277,0.693446774611198,21.1223227242036,1.0,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
11,12,1,SBBE,0.124126357890286,0.593924896252485,22.6297097783819,274.0,269.0,543.0,8.6,25.823529411764707,23.735294117647054,1011.6567164179104,88.73529411764706,310,NA,1.0,1.0,10000.0,2020.0,1.0,1.0,2.0,0.0
12,13,1,SBBG,0.382529209646043,1.09003763399492,9.42904413212861,6.0,6.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
13,14,1,SBBH,0.269748853277183,0.760151674902367,24.5297834903544,2.0,2.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
14,15,1,SBBI,0.243483121891462,0.619990032977484,19.0003925764594,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
15,16,1,SBBP,0.288119614536787,0.820084299966013,29.5094747290881,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
16,17,1,SBBQ,0.254135813949208,0.589556919009078,17.140455083338,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
17,18,1,SBBR,0.279173840464249,0.725441367015332,18.7874347934758,1216.0,1235.0,2451.0,11.6,22.76,19.613333333333333,1015.6533333333332,83.33333333333333,310,25.0,1.0,1.0,3000.0,2020.0,1.0,0.0,7.0,0.0
18,19,1,SBBT,0.310859299764542,0.915340551943809,23.8412031910278,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
19,20,1,SBBU,0.324468857926924,0.849352303694267,24.8440410550723,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
20,21,1,SBBV,0.211556141217033,0.719743905837933,21.8225021494374,22.0,23.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
21,22,1,SBBW,0.246115251787399,0.519008505175786,14.1655794263079,3.0,3.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
22,23,1,SBBZ,0.261848986737222,0.941055748856799,31.9970603684492,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
23,24,1,SBCA,0.281052754517917,0.791729360668346,21.6402736888008,35.0,35.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
24,25,1,SBCB,0.262475979904675,0.954439884152114,32.7146143475171,25.0,25.0,50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
25,26,1,SBCC,0.0808398248943203,0.188118188555086,5.68978614917439,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
26,27,1,SBCD,0.220790884113886,0.482044465370605,14.7197914550307,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
27,28,1,SBCF,0.322294036454377,0.841175953476328,27.6338655993865,997.0,1005.0,2002.0,13.2,21.94047619047619,19.38095238095238,1013.904761904762,86.89285714285714,330,22.0,1.0,1.0,200.0,2020.0,1.0,0.0,1.0,0.0
28,29,1,SBCG,0.335474164079625,0.930684421988413,18.2581992203171,113.0,109.0,222.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.0,0.0
29,30,1,SBCH,0.218803721546389,0.566680354895288,18.9696728886381,32.0,30.0,62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
