"Aeroporto","Semana","Voos_como_Destino","Voos_como_Origem","Total_Voos"
"SBVT",1,210,210,420
"SBVT",2,217,217,434
"SBVT",3,216,217,433
"SBVT",4,209,208,417
"SBVT",5,181,180,361
"SBVT",6,165,166,331
"SBVT",7,154,154,308
"SBVT",8,158,157,315
"SBVT",9,150,153,303
"SBVT",10,137,135,272
"SBVT",11,119,118,237
"SBVT",12,104,105,209
"SBVT",13,96,95,191
"SBVT",14,94,95,189
"SBVT",15,90,91,181
"SBVT",16,91,91,182
"SBVT",17,94,94,188
"SBVT",18,112,110,222
"SBVT",19,121,120,241
"SBVT",20,119,119,238
"SBVT",21,123,124,247
"SBVT",22,131,131,262
"SBVT",23,146,143,289
"SBVT",24,152,153,305
"SBVT",25,145,144,289
"SBVT",26,146,146,292
"SBVT",27,171,169,340
"SBVT",28,186,187,373
"SBVT",29,189,188,377
"SBVT",30,192,192,384
"SBVT",31,190,190,380
"SBVT",32,191,192,383
"SBVT",33,194,194,388
"SBVT",34,184,185,369
"SBVT",35,201,202,403
"SBVT",36,192,193,385
"SBVT",37,207,206,413
"SBVT",38,203,203,406
"SBVT",39,201,201,402
"SBVT",40,219,220,439
"SBVT",41,195,195,390
"SBVT",42,221,221,442
"SBVT",43,230,230,460
"SBVT",44,220,222,442
"SBVT",45,242,242,484
"SBVT",46,228,228,456
"SBVT",47,242,241,483
"SBVT",48,235,234,469
"SBVT",49,243,244,487
"SBVT",50,253,254,507
"SBVT",51,228,226,454
"SBVT",52,215,217,432
"SBVT",53,28,26,54
"SBJV",1,26,26,52
"SBJV",2,25,25,50
"SBJV",3,27,26,53
"SBJV",4,26,27,53
"SBJV",5,25,23,48
"SBJV",6,27,28,55
"SBJV",7,20,20,40
"SBJV",8,22,21,43
"SBJV",9,23,23,46
"SBJV",10,22,23,45
"SBJV",11,19,19,38
"SBJV",12,18,18,36
"SBJV",13,16,17,33
"SBJV",14,13,13,26
"SBJV",15,13,13,26
"SBJV",16,11,11,22
"SBJV",17,10,10,20
"SBJV",18,11,11,22
"SBJV",19,14,14,28
"SBJV",20,18,18,36
"SBJV",21,18,18,36
"SBJV",22,17,17,34
"SBJV",23,19,19,38
"SBJV",24,19,19,38
"SBJV",25,20,20,40
"SBJV",26,21,21,42
"SBJV",27,20,20,40
"SBJV",28,19,19,38
"SBJV",29,18,18,36
"SBJV",30,20,20,40
"SBJV",31,19,19,38
"SBJV",32,20,20,40
"SBJV",33,22,22,44
"SBJV",34,20,20,40
"SBJV",35,23,23,46
"SBJV",36,17,17,34
"SBJV",37,23,23,46
"SBJV",38,23,23,46
"SBJV",39,23,23,46
"SBJV",40,23,23,46
"SBJV",41,21,21,42
"SBJV",42,22,22,44
"SBJV",43,23,23,46
"SBJV",44,25,25,50
"SBJV",45,29,29,58
"SBJV",46,26,26,52
"SBJV",47,28,28,56
"SBJV",48,29,29,58
"SBJV",49,30,30,60
"SBJV",50,30,30,60
"SBJV",51,30,30,60
